FR101,"H. Hayano, KEK, Ibaraki","Overview of Linear Collider Test Facilities and Results",
TUP53,"J. Wu, SLAC, Menlo Park, California; M. Borland, ANL, Argonne, Illinois; P. Emma, SLAC/ARDA, Menlo Park, California; Z. Huang, SLAC, Menlo Park, California; C. Limborg, SLAC/SSRL, Menlo Park, California","Temporal Profile of the LCLS Photocathode Ultraviolet Drive Laser Tolerated by the Microbunching Instability",
TUP54,"J. Wu, SLAC, Menlo Park, California; J. R. Delayen, Jefferson Lab, Newport News, Virginia; T.O. Raubenheimer, SLAC/NLC, Menlo Park, California; J.-M. Wang, BNL/NSLS, Upton, Long Island, New York","Resistive-Wall Wake Effect in the Beam Delivery System",
TUP56,"V.A. Dolgashev, SLAC/ARDB, Menlo Park, California; T.O. Raubenheimer, SLAC/NLC, Menlo Park, California","Simulation of RF Breakdown Effects on NLC Beam",
TUP58,"Y. Kim, K. Flöttmann, DESY, Hamburg; Y. Kim, CHEP Korea, Daegu; T. Limberg, DESY, Hamburg; D. Son, CHEP Korea, Daegu","Alternative Linac Layout for European XFEL Project",
TUP59,"J. Lemaire, CEA/DAM, Bruyères-le-Châtel; R. Bailly-Salins, CEA/DIF/DPTA/SP2A, Bruyeres-le-Chatel; P. Balleyguier, A. Binet, J.M. Lagniel, V. Le Flanchec, CEA/DAM, Bruyères-le-Châtel; M. Millerioux, CEA/DIF/DPTA/SP2A, Bruyeres-le-Chatel; N. Pichoff, CEA/DAM, Bruyères-le-Châtel; Chr. Quine, CEA/DIF/DPTA/SP2A, Bruyeres-le-Chatel","Extraction of High Charge Electron Bunch from the ELSA RF Injector - Comparison Between Simulation and Experiment",
TUP61,"J.C. Dooling, F. R. Brumwell, L. Donley, G.E. McMichael, V. F. Stipp, ANL, Argonne, Illinois","Beam Analysis Using the IPNS Linac ESEM",
TUP63,"A. Feschenko, RAS/INR, Moscow; S. Assadi, W. Blokland, ORNL/SNS, Oak Ridge, Tennessee; A. Gaidash, RAS/INR, Moscow; S. Henderson, ORNL/SNS, Oak Ridge, Tennessee; D.-O. Jeon, ORNL, Oak Ridge; Yu. Kisselev, L.V. Kravchuk, A. Liyu, A. Menshov, A.N. Mirzojan, RAS/INR, Moscow; E.P. Tanke, ORNL/SNS, Oak Ridge, Tennessee","The First Results of Bunch Shape Measurements in SNS Linac",
TUP64,"K. Yokoyama, KEK, Ibaraki; K. Hayakawa, Y. Hayakawa, K. Nakao, I. Sato, T. Tanaka, LEBRA, Funabashi","Bunch Length Measurements at LEBRA",
TUP65,"M. Ikegami, KEK, Ibaraki; Y. Kondo, A. Ueno, JAERI, Ibaraki-ken","RF Tuning Schemes for J-PARC DTL and SDTL",
TUP66,"M. Ikegami, KEK, Ibaraki; Y. Kondo, A. Ueno, JAERI, Ibaraki-ken","An Alternate Scheme for J-PARC SDTL Tuning",
TUP67,"R.C. McCrady, L. Rybarcyk, LANL, Los Alamos, New Mexico","Beam-Based Alignment Measurements of the LANSCE Linac",
TUP68,"R. Merl, LANL, Los Alamos, New Mexico; F. R. Gallegos, C. Pillai, LANL/LANSCE, Los Alamos, New Mexico; B. J. Sanchez, ORNL/SNS, Oak Ridge, Tennessee; S. Schaller, F. E. Shelley, A. I. Steck, LANL/LANSCE, Los Alamos, New Mexico","The LANSCE Low Momentum Beam Monitor",
TUP69,"G. Priebe, D. Nölle, M. Wendt, M. Werner, DESY, Hamburg","Precision Alignments of Stripline BPMs with Quadrupole Magnets for TTF2",
TUP70,"S. Sato, K. Hasegawa, F. Hiroki, JAERI, Ibaraki-ken; Z. Igarashi, M. Ikegami, N. Kamikubota, KEK, Ibaraki; J. Kishiro, Y. Kondo, JAERI, Ibaraki-ken; S. Lee, K. Nigorikawa, KEK, Ibaraki; M. Tanaka, T. Tomisawa, JAERI, Ibaraki-ken; T. Toyama, KEK, Ibaraki; A. Ueno, H. Yoshikawa, JAERI, Ibaraki-ken","Systematic Calibration of Beam Position Monitor in the High Intensity Proton Accelerator (J-PARC) LINAC",
TUP71,"W. Vodel, FSU, Jena; K. Knaack, DESY, Hamburg; R. Neubert, S. Nietzsche, FSU, Jena; A. Peters, GSI, Darmstadt; M. Wendt, K. Wittenburg, DESY, Hamburg","Highly Sensitive Measurements of the Dark Current of Superconducting Cavities for TESLA Using a SQUID Based Cryogenic Current Comparator",
TUP72,"M. Wendt, D. Nölle, DESY, Hamburg","TTF II Beam Monitors for Beam Position, Bunch Charge and Phase Measurements",
TUP73,"K. Yanagida, T. Asaka, H. Dewa, H. Hanaki, T. Kobayashi, A. Mizuno, S. Suzuki, T. Taniuchi, H. Tomizawa, JASRI-SPring-8, Hyogo","Beam Instrumentation Using BPM System of the SPring-8 Linac",
TUP74,"S. Lee, KEK, Ibaraki; H. Akikawa, JAERI/LINAC, Ibaraki-ken; F. Hiroki, JAERI, Ibaraki-ken; Z. Igarashi, KEK, Ibaraki; J. Kishiro, S. Sato, M. Tanaka, T. Tomisawa, JAERI, Ibaraki-ken; T. Toyama, KEK, Ibaraki; H. Yoshikawa, JAERI/FEL, Ibaraki-ken","The Beam Diagnostics System in the J-PARC LINAC",
TUP75,"S. Dong, G. Huang, D. Jia, G. Li, Y.G. Zhou, USTC/NSRL, Hefei, Anhui","The High Accuracy RF Phase Detector Research for 200 MeV LINAC",
TUP76,"T.H. Kandil, T.L. Grimm, W. Hartung, H. Khalil, J. Popielarski, J. Vincent, R.C. York, NSCL, East Lansing, Michigan","Adaptive Feedforward Cancellation of Sinusoidal Disturbances in Superconducting RF Cavities",
TUP77,"K. Fong, S. Fang, M.P. Laverty, TRIUMF, Vancouver","Status of RF Control System for ISAC II Superconducting Cavities",
TUP78,"T. Jezynski, P. Pucyk, WUT, Warsaw; S. Simrock, DESY, Hamburg","Diagnostics for the Low Level RF Control for the European XFEL",
TUP79,"C. Hovater, H. Dong, A. Hofler, G. Lahti, J. Musson, T. Plawski, TJNAF, Newport News, Virginia","A New RF System for the CEBAF Normal Conducting Cavities",
TUP80,"W. Kaesler, PPT, Dortmund","A Long-Pulse Modulator for the TESLA Test Facility (TTF)",
TUP81,"Y. Iwashita, Kyoto ICR, Kyoto; A. Evgeny, M. Kumada, NIRS, Chiba-shi; T. Mihara, Kyoto ICR, Kyoto; C. M. Spencer, SLAC, Menlo Park, California; E. Sugiyama, NEOMAX, Osaka","Superstrong Adjustable Permanent Magnet for a Linear Collider Final Focus",
TUP82,"O. Meusel, A. Bechtold, H. Klein, J. Pozimski, U. Ratzinger, A. Schempp, IAP, Frankfurt-am-Main","Low Energy Beam Transport using Space Charge Lenses",
TUP83,"E. Takasaki, KEK, Ibaraki; H. Ino, Mitsubishi Heavy Industries Ltd., Nagoya Aerospace Systems Works, Nagoya; T. Itou, JAERI/LINAC, Ibaraki-ken; Z. Kabeya, S. Kakizaki, T. Kawasumi, Mitsubishi Heavy Industries Ltd., Nagoya Aerospace Systems Works, Nagoya; F. Naito, H. Tanaka, K. Yoshino, KEK, Ibaraki","Results of the Magnetic Field Measurements of the DTL Quadrupole Magnets for the J-PARC",
TUP84,"H. Tomizawa, JASRI-SPring-8, Hyogo; A. Enomoto, KEK, Ibaraki; H. Hanaki, JASRI-SPring-8, Hyogo; Y. Igarashi, KEK, Ibaraki; T. Taniuchi, JASRI-SPring-8, Hyogo; S. Yamaguchi, KEK, Ibaraki","Spectrographic Approach to Study of RF Conditioning Process in Accelerating RF Structures",
TUP85,"M. Ikegami, KEK, Ibaraki; H. Ao, JAERI/LINAC, Ibaraki-ken; K. Hasegawa, JAERI, Ibaraki-ken; T. Itou, JAERI/LINAC, Ibaraki-ken; C. Kubota, KEK, Ibaraki; T. Morishita, JAERI, Ibaraki-ken; F. Naito, KEK, Ibaraki; N. Nakamura, JAERI, Ibaraki-ken; E. Takasaki, H. Tanaka, KEK, Ibaraki; A. Ueno, JAERI, Ibaraki-ken; K. Yoshino, KEK, Ibaraki","J-PARC Linac Alignment",
TUP86,"H. Liebermann, H. Podlech, U. Ratzinger, A.C. Sauer, IAP, Frankfurt-am-Main","Coupler Development and Gap Field Analysis for the 352 MHz Superconducting CH-Cavity",
TUP87,"K. Yoshino, Y. Fukui, KEK, Ibaraki; T. Itou, JAERI/LINAC, Ibaraki-ken; E. Kadokura, T. Kato, C. Kubota, F. Naito, E. Takasaki, H. Tanaka, KEK, Ibaraki","Technologies of The Peripheral Equipments of The J-PARC DTL1 for the Beam Test",
TUP88,"S. Redaelli, R.W. Assmann, W. Coosemans, G. Guignard, D. Schulte, I. Wilson, F. Zimmermann, CERN, Geneva","CLIC Magnet Stabilization Studies",
TUP89,"S. P. Sekalski, TUL, Lodz; A. Bosotti, INFN/LASA, Segrate (MI); M. Fouaidy, IPN, Orsay; L. Lilje, DESY, Hamburg; A. Napieralski, TUL, Lodz; R. Paparella, P.F. Puricelli, INFN Milano, Milano; S. P. Sekalski, TUL, Lodz; S. Simrock, DESY, Hamburg","Static Absolute Force Measurement for Preloaded Piezoelements Used for Active Lorentz Force Detuning System",
TUP90,"S. Wang, IHEP Beijing, Beijing; T. Kato, KEK, Ibaraki; V.V. Paramonov, RAS/INR, Moscow","Improvements of RF Characteristics in the SDTL of the J-PARC Proton LINAC",
TUP91,"K. C. D. Chan, B.E. Carlsten, G. Dale, R. Garnett, C. Kirbie, F.L. Krawczyk, S.J. Russell, T.P. Wangler, LANL, Los Alamos, New Mexico; E. Wright, CPI, Palo Alto, California","Compact Electron-Linac Design Concept for a Gamma Ray Source",
TUP93,"P. Balleyguier, CEA/DAM, Bruyères-le-Châtel","Results of a 3D-EM-Code Comparison on the TRISPAL Cavity Benchmark",
TUP94,"W. Bruns, TU Berlin TET, Berlin","Parallel Particle in Cell Computation of an Electron Gun with GdfidL",
TUP95,"Y. Iwashita, Kyoto ICR, Kyoto; T. Higo, KEK, Ibaraki","Evaluation of Magnetic Field Enhancement Along a Boundary",
TUP96,"H. Saugnac, J.-L. Biarrotte, S. Blivet, S. Bousson, M. Fouaidy, T. Junquera, G. Olry, IPN, Orsay","Mechanical Stability Simulations on a Quarter Wave Resonator for the SPIRAL II Project",
TUP97,"V.V. Paramonov, RAS/INR, Moscow","Some Estimations for Correlation Between the RF Cavity Surface Temperature and Electrical Breakdown Possibility",
TUP98,"W. Cichalewski, TUL, Lodz; F.-R. Kaiser, DESY, Hamburg; B. Koseda, A. Napieralski, TUL, Lodz; S. Simrock, DESY, Hamburg","The Finite State Machine for Klystron Operation for VUV-FEL and European X-FEL Linear Accelerator",
WE101,"S. Döbert, SLAC, Stanford","Gradient Limitations for High-Frequency Accelerators",
WE102,"L. Lilje, DESY, Hamburg","State of the Art SRF Cavity Performance",
WE103,"S. Simrock, DESY, Hamburg","State of the Art in RF Control",
WE104,"P. Piot, FNAL, Batavia, Illinois","State of the Art Electron Bunch Compression",
WE201,"V. Aleksandrov, ORNL/SNS, Oak Ridge, Tennessee","Results from the Initial Operations of the SNS Front End and Drift Tube Linac",
WE202,"A. Pisent, INFN/LNL, Legnaro, Padova","Recent Results in the Field of High Intensity CW Linac Development for RIB Production",
WE203,"C. Bocchetta, ELETTRA, Basovizza, Trieste","Challenges of Linac Driven Light Sources",
WE204,"J-O. Oh, POSTECH, Pohang; Y. Kim, DESY, Hamburg; W. Namkung, POSTECH, Pohang, Kyungbuk","PAL Linac Upgrade for a 1-3 Å XFEL",
WE205,"S. Michizono, KEK, Ibaraki","KEKB Injector Linac and Upgrade for SuperKEKB",
