fr101,"T. Inagaki, RIKEN/SPring-8, Hyogo","8-GeV C-Band Accelerator Construction for XFEL/SPring-8",1090 1094,
thp076,"Y. Gómez-Martínez, T. Cabanel, J. Giraud, D. Marchand, R. Micoud, F. Vezzu, LPSC, Grenoble","Last SPIRAL 2 10 kW CW RF Coupler Design",969 971,
thp077,"H. Jenhani, S. Cavalier, T. Garvey, LAL, Orsay; L. Grandsire, IN2P3-CNRS, Orsay; W. Kaabi, M. Lacroix, B.M. Mercier, C. Prevost, A. Variola, LAL, Orsay","Studies on Input Couplers for Superconducting Cavities",972 974,
thp078,"W. Vinzenz, W. Barth, H.-L. Dambowy, L. Groening, M. Hoerr, G. Schreiber, GSI, Darmstadt","High Power RF Supplies for the FAIR Injector Linacs",975 977,
thp079,"S. Choroba, F. Eints, T. Frölich, A. Gamp, T. Grevsmühl, V.V. Katalev, DESY, Hamburg","Operation Experience with the FLASH RF Waveguide Distribution System at DESY",978 980,
thp080,"E. Feldmeier, HIT, Heidelberg; G. Hutter, B. Schlitt, W. Vinzenz, GSI, Darmstadt","Elimination of Parasitic Oscillations in RF Tube Amplifier for High Power Application",981 983,
thp081,"P. Shrivastava, RRCAT, Indore (M.P.); F. Bordry, C. De Almeida Martins, CERN, Geneva; J. Mulchandani, RRCAT, Indore (M.P.); C. Rossi, CERN, Geneva; V.C. Sahni, RRCAT, Indore (M.P.)","Development of All Solid State Bouncer Compensated Long Pulse Modulators for LEP 1MW Klystrons to be Used for LINAC4 Project at CERN",984 986,
thp085,"C. Kondo, RIKEN Spring-8 Harima, Hyogo; T. Inagaki, T. Sakurai, T. Shintake, K. Shirasawa, RIKEN/SPring-8, Hyogo","Cooling System Design of Compact Klystron Modulator Power Supply in the XFEL Project at SPring-8",987 989,
thp086,"M. Yoshida, KEK, Ibaraki; H. Hioka, S. Someya, SUT, Noda-shi, Chiba; U. Utsunomiya, University of Tokyo, Tokyo","Cold Cathode Electron Tube Toward Plenty Multi Beam Tube",990 992,
thp087,"D.A. Swenson, Linac Systems, LLC, Albuquerque, New Mexico","Quarter-Wave-Stub Resonant Coupler",993 995,
thp088,"R.L. Madrak, D. Wildman, Fermilab, Batavia","High Power 325 MHz Vector Modulators for the Fermilab High Intensity Neutrino Source (HINS)",996 998,
thp089,"I. Terechkine, T.N. Khabiboulline, N. Solyak, Fermilab, Batavia","High Power L-Band Fast Phase Shifter",999 1001,
thp090,"J.A. Casey, F.O. Arntz, R. Ciprian, M.P.J. Gaudreau, M.K. Kempkes, I. Roth, Diversified Technologies, Inc., Bedford, Massachusetts","Marx Bank Technology for Accelerators and Colliders",1002 1004,
thp093,"J. Wlodarczak, P. Glennon, W. Hartung, M. Hodek, M.J. Johnson, D. Norton, J. Popielarski, NSCL, East Lansing, Michigan","Power Coupler and Tuner Development for Superconducting Quarter-Wave Resonators",1005 1007,
thp094,"J.T. Bradley III, D. Rees, W. Roybal, K.A. Young, LANL, Los Alamos, New Mexico","Leveraging the LEDA High Voltage Power Supply Systems for the LANSCE Refurbishment Project",1008 1010,
thp095,"D. Rees, J.T. Bradley III, S. Kwon, J.T.M. Lyles, M.T. Lynch, M.S. Prokop, W. Reass, K.A. Young, LANL, Los Alamos, New Mexico","Progress Towards the LANSCE RF System Refurbishment",1011 1011,
thp096,"M.A. Kemp, SLAC, Menlo Park, California; D.E. Anderson, ORNL, Oak Ridge, Tennessee; C. Burkhart, M.N. Nguyen, SLAC, Menlo Park, California","Next Generation IGBT Switch Plate Development for the SNS High Voltage Converter Modulator",1012 1014,
thp097,"C. Burkhart, T.G. Beukers, R.S. Larsen, K.J.P. Macken, M.N. Nguyen, J.J. Olsen, T. Tang, SLAC, Menlo Park, California","ILC Marx Modulator Development Program Status",1015 1017,
thp098,"Y.W. Kang, ORNL, Oak Ridge, Tennessee","RF Vector Control for Efficient Fan-Out Power Distribution",1018 1020,
thp099,"M.P. McCarthy, M.T. Crofford, S.-H. Kim, ORNL, Oak Ridge, Tennessee","Spallation Neutron Source Superconducting Linac Klystron to Cavity Mismatch Effects and Compensation",1021 1023,
thp100,"K. Fong, M.P. Laverty, Q. Zheng, TRIUMF, Vancouver","Self Tuning Regulator for ISAC 2 Superconducting RF Cavity Tuner Control",1024 1026,
thp101,"K. Fong, M.P. Laverty, Q. Zheng, TRIUMF, Vancouver","AM-PM Conversion Induced Instability in I/Q Feedback Control Loop",1027 1029,
thp102,"Z. Geng, S. Simrock, DESY, Hamburg","Evaluation of Fast ADCs for Direct Sampling RF Field Detection for the European XFEL and ILC",1030 1032,
thp103,"S. Simrock, DESY, Hamburg; B. Aminov, CRE, Wuppertal; G. Ayvazyan, Z. Geng, M.K. Grecki, DESY, Hamburg","LLRF System Requirement Engineering for the European XFEL",1033 1035,
thp104,"T. Ohshima, N. Hosoda, H. Maesaka, RIKEN/SPring-8, Hyogo; M. Musha, University of electro-communications, Tokyo; Y. Otake, RIKEN/SPring-8, Hyogo; K. Tamasaku, RIKEN Spring-8 Harima, Hyogo","Low Level RF and Timing System for XFEL/SPring-8",1036 1038,
thp105,"Z. Fang, S. Anami, KEK, Ibaraki; T. Kobayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Michizono, KEK, Ibaraki; H. Suzuki, JAEA, Ibaraki-ken; S. Yamaguchi, KEK, Ibaraki","LLRF Control System of the J-PARC LINAC",1039 1041,
thp106,"H. Katagiri, S. Fukuda, T. Matsumoto, S. Michizono, T. Miura, Y. Yano, M. Yoshida, KEK, Ibaraki","High Speed Data Acquisition System Using FPGA for LLRF Measurement and Control",1042 1044,
thp107,"T. Matsumoto, S. Fukuda, H. Katagiri, S. Michizono, T. Miura, Y. Yano, KEK, Ibaraki","Performance of Digital Low-Level RF Control System with Four Intermediate Frequencies",1045 1047,
thp108,"S. Michizono, S. Fukuda, H. Katagiri, T. Matsumoto, T. Miura, Y. Yano, KEK, Ibaraki","Performance of Digital LLRF System for STF in KEK",1048 1050,
thp109,"T. Miura, S. Fukuda, H. Katagiri, T. Matsumoto, S. Michizono, Y. Yano, KEK, Ibaraki","Measurements of Feedback-Instability Due to 8/9 and 7/9 Modes at KEK-STF",1051 1053,
thp110,"T. Kobayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Anami, KEK, Ibaraki; E. Chishiro, JAEA, Ibaraki-ken; Z. Fang, S. Michizono, KEK, Ibaraki; H. Suzuki, JAEA, Ibaraki-ken; S. Yamaguchi, KEK, Ibaraki","Pulse-by-Pulse Switching of Beam Loading Compensation in J-PARC Linac RF Control",1054 1056,
thp111,"H.S. Kim, Y.-S. Cho, H.-J. Kwon, K.T. Seol, KAERI, Daejon","LLRF Control System Using a Commercial Board",1057 1059,
thp112,"A.I. Kvasha, RAS/INR, Moscow","Numerical Simulation of the INR DTL A/P Control System",1060 1062,
thp113,"J. Branlard, B. Chase, S. Nagaitsev, O.A. Nezhevenko, J. Reid, Fermilab, Batavia","Optimal Coupler and Power Settings for Superconductive Linear Accelerators",1063 1065,
thp114,"T.A. Butler, L.J. Allen, J. Branlard, B. Chase, E. Cullerton, P.W. Joireman, M.J. Kucera, V. Tupikov, P. Varghese, Fermilab, Batavia","New LLRF System for Fermilab 201.25 MHz Linac",1066 1068,
thp115,"G.I. Cancelo, A. Vignoni, Fermilab, Batavia","Optimizing Cavity Gradients in Pulsed Linacs Using the Cavity Transient Response",1069 1071,
thp116,"G.I. Cancelo, Fermilab, Batavia; C. Armiento, University of Pisa and INFN, Pisa; K.R. Treptow, A. Vignoni, T.J. Zmuda, Fermilab, Batavia","Real Time RF Simulator (RTS) and Control",1072 1074,
thp117,"U. Mavric, B. Barnes, J. Branlard, B. Chase, D.W. Klepec, V. Tupikov, Fermilab, Batavia","Design and Evaluation of the Low-Level RF Electronics for the ILC Main LINAC",1075 1077,
thp118,"J.W. Staples, J.M. Byrd, L.R. Doolittle, G. Huang, R.B. Wilcox, LBNL, Berkeley, California","A Femtosecond-Level Fiber-Optics Timing Distribution System Using Frequency-Offset Interferometry",1078 1080,
thp120,"V. Parma, S. Calatroni, N. Delruelle, J. Hansen, C. Maglioni, M. Modena, M. Pasini, CERN, Geneva; S.M. Pattalwar, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; T. Trilhe, CERN, Geneva","Concept Design Studies of the REX-ISOLDE Cryomodules at CERN",1081 1083,
thp122,"M.A. Drury, E. Daly, G.K. Davis, J.F. Fischer, C. Grenoble, J. Hogan, F. Humphry, L.K. King, J.P. Preble, K. Worland, JLAB, Newport News, Virginia","Overview of the First Five Refurbished CEBAF Cryomodules",1084 1086,
thp123,"M. White, J.T. Collins, M.S. Jaski, G. Pile, B.M. Rusthoven, S. Sasaki, S.E. Shoaf, S.J. Stein, E. Trakhtenberg, I. Vasserman, J.Z. Xu, ANL, Argonne","Construction of the Magnets and Supports for the Linac Coherent Light Source (LCLS) Undulator System",1087 1089,
tu101,"A. Ueno, KEK/JAEA, Ibaraki-Ken","Unique Features of the J-PARC Linac and Its Performance - Lessons Learnt",343 347,
tu102,"T. Junquera, IPN, Orsay","Status of the Construction of the SPIRAL2 Accelerator at GANIL",348 352,
tu103,"A.M. Lombardi, CERN, Geneva","CERN Linac Upgrade Activities",353 357,
tu104,"J.C. Fernandez, LANL, Los Alamos, New Mexico","Laser Acceleration of Quasi-Monoenergetic MeV-GeV Ion Beams",358 358,
tu201,"M.C. Ross, Fermilab, Batavia","Linac R&D for the ILC Technical Design Report",359 359,
tu202,"G. Shirkov, Ju. Boudagov, Yu.N. Denisov, I.N. Meshkov, A.N. Sissakian, G.V. Trubnikov, JINR, Dubna, Moscow Region","ILC Siting in Moscow Region Near Dubna and ILC Related Activity at JINR",360 363,
tu203,"S. Döbert, CERN, Geneva","Status and Future Prospects of CLIC",364 368,
tu204,"Y.H. Chin, KEK, Ibaraki","Design and Performance of L-Band and S-Band Multi-Beam Klystrons",369 373,
tu301,"P. Muggli, UCLA, Los Angeles, California","Positron Beams Propagation in Plasma Wakefield Accelerators",374 378,
tu302,"D. Panasenko, LBNL, Berkeley, California","Control, Stability and Staging in Laser Wakefield Accelerators",379 379,
tup001,"X. Shen, L.O. Dallin, R.M. Silzer, T. Summers, M.S. de Jong, CLS, Saskatoon, Saskatchewan","Status and Upgrade Plan of 250 MeV Linac at CLS",380 382,
tup002,"S.R. Koscielniak, F. Ames, R.A. Baartman, I.V. Bylinskii, R.J. Dawson, J.T. Drozdoff, K. Fong, A. Hurst, TRIUMF, Vancouver; D. Karlen, Victoria University, Victoria, B.C.; R. Keitel, R.E. Laxdal, F. Mammarella, M. Marchetto, L. Merminga, A.K. Mitra, K.W. Reiniger, T.C. Ries, R. Ruegg, I. Sekachev, G.M. Stinson, V.A. Verzilov, TRIUMF, Vancouver","ARIEL and the TRIUMF E-Linac Initiative, a 0.5 MW Electron Linac for Rare Isotope Beam Production",383 385,
tup003,"J.-L. Lemaire, P. Balleyguier, J.-L. Flament, D. Guilhem, V. Le Flanchec, M.M. Millerioux, S.J. Pichon, CEA, Bruyères-le-Chtâtel","Proposal for a 15 MeV Superconducting Electron Linac for the DEINOS Project",386 388,
tup004,"F. Peauger, D. Bogard, G. Cheymol, P. Contrepois, CEA, Gif-sur-Yvette; S. Curt, CERN, Geneva; A. Curtoni, G. Dispau, M. Dorlot, CEA, Gif-sur-Yvette; K. Elsener, CERN, Geneva; W. Farabolini, CEA, Gif-sur-Yvette; V. Fedosseev, CERN, Geneva; M. Fontaine, P. Girardot, R. Granelli, F. Harrault, J.L. Jannin, C.L.H. Lahonde-Hamdoun, T. Lerch, P.-A. Leroy, M. Luong, CEA, Gif-sur-Yvette; G. McMonagle, CERN, Geneva; A. Mosnier, CEA, Gif-sur-Yvette; J. Mourier, CERN, Geneva; F. Orsini, CEA, Gif-sur-Yvette; M. Petrarca, L. Rinolfi, G. Rossat, CERN, Geneva; R. Roux, LAL, Orsay; E. Rugo, CERN, Geneva; C. Simon, CEA, Gif-sur-Yvette; L. Timeo, CERN, Geneva","Status of the CTF3 Probe Beam Linac CALIFES",389 391,
tup005,"F. Klarner, ELSA, Bonn; S. Aderhold, DESY, Hamburg; O. Boldt, W. Hillert, ELSA, Bonn","The New Single Bunch Injector for ELSA",392 394,
tup006,"R. Eichhorn, A. Araz, M. Brunken, J. Conrad, H.-D. Gräf, M. Hertling, F. Hug, C. Klose, M. Konrad, T. Kuerzeder, C. Liebig, M. Platz, A. Richter, S.T. Sievers, T. Weilbach, TU Darmstadt, Darmstadt","Improving the Superconducting Cavities and Operational Findings at the S-DALINAC",395 397,
tup007,"R. Eichhorn, TU Darmstadt, Darmstadt; W. Ackermann, TEMF, TU Darmstadt, Darmstadt; K. Aulenbacher, IKP, Mainz; R. Barday, U. Bonnes, M. Brunken, J. Conrad, C. Eckardt, J. Enders, TU Darmstadt, Darmstadt; J.D. Fuerst, ANL, Argonne; H.-D. Gräf, C. Heßler, T. Kuerzeder, C. Liebig, TU Darmstadt, Darmstadt; W.F.O. Müller, TEMF, TU Darmstadt, Darmstadt; M. Platz, Y. Poltoratska, M. Roth, S.T. Sievers, TU Darmstadt, Darmstadt; B. Steiner, T. Weiland, TEMF, TU Darmstadt, Darmstadt; T. Weilbach, TU Darmstadt, Darmstadt","The Power and Polarisation Upgrade Project at the S-DALINAC Injector",398 400,
tup008,"M. Hüning, M. Schmitz, DESY, Hamburg","Recent Changes to the e- / e+ Injector (Linac II) at DESY",401 403,
tup009,"K. Furukawa, KEK, Ibaraki; A. Kazakov, GUAS/AS, Ibaraki; T. Kudou, S. Kusano, MELCO SC, Tsukuba; G. Lei, IHEP Beijing, Beijing; M. Satoh, T. Suwada, KEK, Ibaraki; G.X. Xu, IHEP Beijing, Beijing","Development of Timing and Control Systems for Fast Beam Switch at KEK 8 GeV Linac",404 406,
tup010,"T. Kamitani, K. Furukawa, N. Iida, M. Ikeda, K. Kakihara, M. Kikuchi, T. Mimashi, S. Ohsawa, M. Satoh, A. Shirakawa, T. Sugimura, T. Suwada, K. Yokoyama, KEK, Ibaraki","Pulse-to-Pulse Mode Switching of KEKB Injector Linac",407 409,
tup011,"Y. Ogawa, M. Yoshida, KEK, Ibaraki","Observations of Two Microbunches After a 180-Degree Arc Section at the KEKB Linac",410 412,
tup012,"Y. Ohnishi, K. Furukawa, N. Iida, T. Kamitani, M. Kikuchi, Y. Ogawa, K. Satoh, K. Yokoyama, KEK, Ibaraki","Design and Performance of Optics for Multi-energy Injector Linac",413 415,
tup013,"M. Satoh, KEK, Ibaraki","Present Status of the KEK Injector Upgrade for the Fast Beam-Mode Switch",416 418,
tup014,"G. Pei, IHEP Beijing, Beijing","Present Status of the BEPCII Linac",419 421,
tup016,"E. Adli, R. Corsini, A.E. Dabrowski, D. Schulte, H. Shaker, P.K. Skowronski, F. Tecker, R. Tomás, CERN, Geneva","Status of an Automatic Beam Steering for the CLIC Test Facility 3",422 424,
tup017,"R. Chamizo, H.-H. Braun, N.C. Chritin, D. Grenier, J. Hansen, Y. Kadi, L. Massidda, Th. Otto, R. Rocca, R. Zennaro, CERN, Geneva","Design of the Tail Clipper Collimator for CTF3",425 427,
tup018,"V.A. Kushnir, M.I. Ayzatskiy, V.N. Boriskin, A.N. Dovbnya, I.V. Khodak, S.G. Kononenko, V.V. Mytrochenko, S.A. Perezhogin, Y.D. Tur, NSC/KIPT, Kharkov","A 150 MeV Pulse Electron Linac with a 1 mA Average Current",428 430,
tup019,"V.V. Mytrochenko, M.I. Ayzatskiy, NSC/KIPT, Kharkov","Injector of Intense Electron Beam",431 433,
tup020,"M.E. Schulze, SAIC, Los Alamos, New Mexico; E.O. Abeyta, LANL, Los Alamos, New Mexico; R. Anaya, LLNL, Livermore, California; R.D. Archuleta, J. Barraza, LANL, Los Alamos, New Mexico; H. Bender, W. Broste, NSTec, Los Alamos, New Mexico; G.J. Caporaso, LLNL, Livermore, California; C. Carlson, NSTec, Los Alamos, New Mexico; F.W. Chambers, Y.-J. Chen, LLNL, Livermore, California; D. Dalmas, C. Ekdahl, LANL, Los Alamos, New Mexico; S. Falabella, LLNL, Livermore, California; D. Frayer, NSTec, Los Alamos, New Mexico; W.L. Gregory, LANL, Los Alamos, New Mexico; G. Guethlein, LLNL, Livermore, California; J.F. Harrison, LANL, Los Alamos, New Mexico; T.P. Hughes, Voss Scientific, Albuquerque, New Mexico; E.B. Jacquez, LANL, Los Alamos, New Mexico; D. Johnson, NSTec, Los Alamos, New Mexico; J.B. Johnson, P.S. Marroquin, B.T. McCuistian, R.R. Mitchell, N. Montoya, S. Nath, K. Nielsen, R.M. Ortiz, LANL, Los Alamos, New Mexico; B.A. Raymond, R.A. Richardson, LLNL, Livermore, California; L.J. Rowton, R.D. Scarpetti, M. Schauer, G.J. Seitz, LANL, Los Alamos, New Mexico; C.H. Thoma, Voss Scientific, Albuquerque, New Mexico; C.-Y. Tom, NSTec, Los Alamos, New Mexico; J.A. Watson, J.T. Weir, LLNL, Livermore, California","Commissioning the DARHT-II Accelerator Downstream Transport and Target",434 436,
tup021,"D.J. MacNair, SLAC, Menlo Park, California","Digitally Controlled High Availability Power Supply",437 439,
tup022,"A. Neumann, M. Abo-Bakr, J. Knobloch, BESSY GmbH, Berlin","RF Control and Longitudinal Beam Stability in Energy Recovery Linacs",440 440,
tup023,"M. Borland, V. Sajaev, ANL, Argonne","Optimization of Lattice for an ERL Upgrade to the Advanced Photon Source",441 443,
tup024,"M. Borland, ANL, Argonne","Growth of Density Modulations in an Energy Recovery Linac Light Source due to Coherent Synchrotron Radiation and Longitudinal Space Charge",444 446,
tup026,"V. Sajaev, M. Borland, ANL, Argonne","Exploring Benefits of Using RF Deflection for Short X-Ray Pulse Generation for an Energy-Recovery Linac Upgrade to the Advanced Photon Source",447 449,
tup027,"V. Sajaev, ANL, Argonne","Simulation of Linear Lattice Correction of an Energy-Recovery Linac Designed for an APS Upgrade",450 452,
tup028,"A. Kayran, D. Beavis, I. Ben-Zvi, M. Blaskiewicz, BNL, Upton, Long Island, New York; H. Bluem, AES, Medford, NY; J.M. Brennan, A. Burrill, R. Calaga, P. Cameron, X. Chang, BNL, Upton, Long Island, New York; M.D. Cole, AES, Medford, NY; J.R. Delayen, JLAB, Newport News, Virginia; K.A. Drees, BNL, Upton, Long Island, New York; A.J. Favale, AES, Medford, NY; L.W. Funk, JLAB, Newport News, Virginia; G. Ganetis, D.M. Gassner, J.G. Grimes, H. Hahn, L.R. Hammons, A. Hershcovitch, BNL, Upton, Long Island, New York; D. Holmes, AES, Medford, NY; H.-C. Hseuh, A.K. Jain, R.F. Lambiase, D.L. Lederle, V. Litvinenko, G.J. Mahler, G.T. McIntyre, W. Meng, T.C. Nehring, B. Oerter, C. Pai, D. Pate, D. Phillips, BNL, Upton, Long Island, New York; H.L. Phillips, JLAB, Newport News, Virginia; E. Pozdeyev, BNL, Upton, Long Island, New York; J.P. Preble, JLAB, Newport News, Virginia; T. Rao, BNL, Upton, Long Island, New York; J. Rathke, AES, Medford, NY; J. Reich, T. Roser, T. Russo, BNL, Upton, Long Island, New York; T. Schultheiss, AES, Medford, NY; Z. Segalov, A.K. Sharma, J. Smedley, K. Smith, T. Srinivasan-Rao, BNL, Upton, Long Island, New York; A.M.M. Todd, AES, Medford, NY; J.E. Tuozzolo, G. Wang, D. Weiss, N. Williams, Q. Wu, K. Yip, A. Zaltsman, BNL, Upton, Long Island, New York","Status of High Current R&D Energy Recovery Linac at Brookhaven National Laboratory",453 455,
tup029,"S. Okuda, T. Kojima, Y. Sakamoto, R. Taniguchi, Osaka Prefecture University, Sakai","Electron Linac Based Coherent Radiation Light Source Project at OPU",456 458,
tup030,"C. Christou, V.C. Kempson, S.J. Singleton, Diamond, Oxfordshire","Enhancements to the Diamond Light Source Pre-Injector Linac",459 461,
tup031,"C. Christou, R. Bartolini, J.H. Han, H.C. Huang, J. Kay, Diamond, Oxfordshire","Normal Conducting Options for the UK's New Light Source Project",462 464,
tup032,"Y.A. Kot, DESY, Hamburg","Simulations on Impact of the 3.9 GHz RF Section on the Multi Bunch Emittance at FLASH",465 467,
tup033,"Y.A. Kot, V. Balandin, W. Decking, C. Gerth, N. Golubeva, T. Limberg, DESY, Hamburg","Lattice Studies for the XFEL-Injector",468 470,
tup034,"E. Vogel, DESY, Hamburg; A. Bosotti, INFN/LASA, Segrate (MI); W. Decking, M. Dohlus, DESY, Hamburg; H.T. Edwards, E.R. Harms, Fermilab, Batavia; M.G. Hoffmann, M. Hüning, J. Iversen, K. Jensch, DESY, Hamburg; T.N. Khabiboulline, Fermilab, Batavia; G. Kreps, T. Limberg, A. Matheisen, W.-D. Möller, DESY, Hamburg; P. Pierini, INFN/LASA, Segrate (MI); K. Rehlich, A. Schmidt, J.K. Sekutowicz, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); W. Singer, DESY, Hamburg","Status of the 3rd Harmonic Systems for FLASH and XFEL in Summer 2008",471 473,
tup035,"F. Stephan, DESY Zeuthen, Zeuthen; G. Asova, INRNE, Sofia; J.W. Bähr, C.H. Boulware, DESY Zeuthen, Zeuthen; K. Flöttmann, DESY, Hamburg; H.-J. Grabosch, DESY Zeuthen, Zeuthen; L. Hakobyan, YerPhI, Yerevan; M. Hänel, Ye. Ivanisenko, DESY Zeuthen, Zeuthen; F. Jackson, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; M.K. Khojoyan, YerPhI, Yerevan; M. Krasilnikov, DESY Zeuthen, Zeuthen; S. Lederer, DESY, Hamburg; P.M. Michelato, L. Monaco, C. Pagani, INFN/LASA, Segrate (MI); B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, S. Rimjaem, DESY Zeuthen, Zeuthen; J. Rönsch, Uni HH, Hamburg; T.A. Scholz, DESY Zeuthen, Zeuthen; D. Sertore, INFN/LASA, Segrate (MI); A. Shapovalov, MEPhI, Moscow; R. Spesyvtsev, DESY Zeuthen, Zeuthen; L. Staykov, INRNE, Sofia","New Experimental Results from PITZ",474 476,
tup038,"T. Kii, K. Higashimura, R. Kinjo, K. Masuda, H. Ohgaki, H. Zen, Kyoto IAE, Kyoto","MIR-FEL with 4.5-Cell Thermionic RF-Gun",477 479,
tup039,"G.V. Trubnikov, N. Balalykin, A.G. Kobets, V. Kobets, I.N. Meshkov, V. Minashkin, JINR, Dubna, Moscow Region; V. Shabratov, JINR/LHE, Moscow; G. Shirkov, G.I. Sidorov, JINR, Dubna, Moscow Region","Status of the LINAC-800 Construction at JINR",480 482,
tup040,"Y. Kim, A. Adelmann, B. Beutner, M.M. Dehler, R. Ganter, T. Garvey, R. Ischebeck, M. Pedrozzi, J.-Y. Raguin, S. Reiche, L. Rivkin, V. Schlott, A. Streun, A.F. Wrulich, PSI, Villigen","Linear Accelerator for the PSI-XFEL FEL3 Beamline",483 485,
tup041,"P.A. McIntosh, R. Bate, C.D. Beard, D.M. Dykes, S.M. Pattalwar, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","Superconducting Options for the UK's New Light Source Project",486 488,
tup042,"B.L. Militsyn, C.D. Beard, J.W. McKenzie, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","High Repetition Rate Electron Injectors for FEL Based Next Generation Light Sources",489 491,
tup043,"W. Berg, J.C. Dooling, ANL, Argonne; H.-D. Nuhn, SLAC, Menlo Park, California; A.F. Pietryla, B.X. Yang, ANL, Argonne","Development of a Beam Loss Monitor System for the LCLS Undulator Beamline",492 494,
tup044,"J.W. Lewellen, NPS, Monterey, California; A.E. Bogle, Niowave, Inc., Lansing, Michigan; W.B. Colson, NPS, Monterey, California; W. Graves, MIT, Middleton, Massachusetts; T.L. Grimm, Niowave, Inc., Lansing, Michigan; S.P. Niles, NPS, Monterey, California; T.I. Smith, Stanford University, Stanford, Califormia","The NPS-FEL Injector Upgrade",495 497,
tup045,"Y.-E. Sun, P. Piot, Fermilab, Batavia","Generation of Femtosecond Bunch Trains Using a Longitudinal-to-Transverse Phase Space Exchange Technique",498 500,
tup046,"A. Zholents, LBNL, Berkeley, California; E. Kur, UCB, Berkeley, California; G. Penn, J. Qiang, M. Venturini, R.P. Wells, LBNL, Berkeley, California","Linac Design for an Array of Soft X-Ray Free Electron Lasers",501 503,
tup047,"K. Bishofberger, B.E. Carlsten, R. Faehl, LANL, Los Alamos, New Mexico","Manipulating the Two-Stream Instability for Efficient Terahertz Generation",504 505,
tup048,"F.-J. Decker, R. Akre, A. Brachmann, W.S. Colocho, Y.T. Ding, D. Dowell, P. Emma, J.C. Frisch, A. Gilevich, G.R. Hays, P. Hering, Z. Huang, R.H. Iverson, K.D. Kotturi, A. Krasnykh, C. Limborg-Deprey, H. Loos, S. Molloy, H.-D. Nuhn, D.F. Ratner, J.L. Turner, J.J. Welch, W.E. White, J. Wu, SLAC, Menlo Park, California","Identifying Jitter Sources in the LCLS Linac",506 508,
tup049,"J. Wu, SLAC, Menlo Park, California; J. Bisognano, UW-Madison/SRC, Madison, Wisconsin; A. Chao, SLAC, Menlo Park, California","The Electron Bunch Initial Energy Profile on a Seeded Free Electron Laser Performance",509 511,
tup050,"J. Wu, SLAC, Menlo Park, California; R.A. Bosch, UW-Madison/SRC, Madison, Wisconsin; P. Emma, SLAC, Menlo Park, California; K.J. Kleman, UW-Madison/SRC, Madison, Wisconsin","Design and Optimization of Electron Bunch Acceleration and Compression",512 514,
tup051,"M. Yeddulla, S.G. Tantawi, SLAC, Menlo Park, California","Design of Microwave Undulator Cavity",515 517,
tup052,"J.W. Lewellen, W.B. Colson, S.P. Niles, NPS, Monterey, California; T.I. Smith, Stanford University, Stanford, Califormia","Status of the NPS Free-Electron Laser",518 520,
tup053,"X. Yang, J.B. Murphy, H.J. Qian, S. Seletskiy, Y. Shen, X.J. Wang, BNL, Upton, Long Island, New York","Experimental Characterization and Optimization of High-brightness Electron Beam at the NSLS SDL",521 523,
tup054,"T. Sugimoto, M. Ichikawa, Y. Iwashita, I. Kazama, Kyoto ICR, Uji, Kyoto; T. Tauchi, KEK, Ibaraki; M. Yamada, Kyoto ICR, Uji, Kyoto","Development of the Continuously Adjustable Permanent Magnet Quadrupole for ATF2",524 526,
tup055,"A. Grudiev, H.-H. Braun, D. Schulte, W. Wuensch, CERN, Geneva","Optimum Frequency and Gradient for the CLIC Main Linac Accelerating Structure",527 529,
tup056,"P.K. Skowronski, CERN, Geneva; D. Alesini, INFN/LNF, Frascati (Roma); S. Bettoni, CERN, Geneva; C. Biscari, INFN/LNF, Frascati (Roma); Y.-C. Chao, TRIUMF, Vancouver; R. Corsini, S. Döbert, F. Tecker, CERN, Geneva","Beam Optics Studies and Commissioning Status of CTF3",530 532,
tup057,"R. Zennaro, A. Grudiev, CERN, Geneva; T. Higo, KEK, Ibaraki; G. Riddone, A. Samoshkin, CERN, Geneva; S.G. Tantawi, J.W. Wang, SLAC, Menlo Park, California; W. Wuensch, CERN, Geneva","Design and Fabrication of CLIC Test Structures",533 535,
tup058,"F.O. Arntz, M.P.J. Gaudreau, A. Kardo-Sysoev, M.K. Kempkes, A. Krasnykh, Diversified Technologies, Inc., Bedford, Massachusetts","A Kicker Driver Exploiting Drift Step Recovery Diodes for the International Linear Collider",536 538,
tup063,"S. Ohsawa, M. Ikeda, N. Sakabe, T. Sugimura, KEK, Ibaraki","Development of a New Highly Bright X-ray Generator",539 541,
tup064,"R. Taniguchi, T. Kojima, S. Okuda, R. Sasaki, Osaka Prefecture University, Sakai","Nuclear Reaction Analysis by Using Quasi-Elastic Scattering of Ultra Low Intensity Electron Beams",542 544,
