fr101,"K. Ko, A.E. Candel, SLAC, Menlo Park, California","Advances in Parallel Electromagnetic Codes for Accelerator Science and Development",1028 1032,
thp116,"S. Gammino, INFN/LNS, Catania; G. Adroit, CEA, Gif-sur-Yvette; G. Castro, L. Celona, G. Ciavola, INFN/LNS, Catania; O. Delferrière, R. Gobin, CEA, Gif-sur-Yvette; F. Maimone, GSI, Darmstadt; D. Mascali, R. Miracoli, INFN/LNS, Catania; F. Senée, CEA, Gif-sur-Yvette","Tests of the Versatile Ion Source (VIS) for High Power Proton Beam Production",1010 1012,
thp117,"S. Gammino, L. Celona, G. Ciavola, INFN/LNS, Catania; F. Maimone, GSI, Darmstadt; D. Mascali, R. Miracoli, INFN/LNS, Catania","Study of the Frequency Tuning Effect for the Improvement of Beam Brightness in ECR Ion Sources",1013 1015,
thp118,"H. Oguri, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Ikegami, J-PARC, KEK & JAEA, Ibaraki-ken; Y. Namekawa, K. Ohkoshi, A. Ueno, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Status of the J-PARC Negative Hydrogen Ion Source",1016 1018,
thp119,"Y.W. Kang, R.E. Fuja, T.W. Hardek, S.W. Lee, M.P. McCarthy, M.F. Piller, K.R. Shin, M.P. Stockli, A.V. Vassioutchenko, R.F. Welton, ORNL, Oak Ridge, Tennessee","Developments for Performance Improvement of SNS H- Ion Source RF Systems",1019 1021,
thp120,"J. Gao, J.P. Dai, Z.D. Guo, IHEP Beijing, Beijing; H. Hayano, KEK, Ibaraki; M. Hou, IHEP Beijing, Beijing; E. Kako, KEK, Ibaraki; Z.Q. Li, L.L. Men, IHEP Beijing, Beijing; S. Noguchi, M. Sawabe, T. Shishido, N. Toge, KEK, Ibaraki; Q.Y. Wang, IHEP Beijing, Beijing; K. Watanabe, KEK, Ibaraki; Q. Xiao, IHEP Beijing, Beijing; Y. Yamamoto, KEK, Ibaraki; J.Y. Zhai, IHEP Beijing, Beijing; T.X. Zhao, IHEP Beiing, Beijing","First Test Result of the IHEP-01 Large Grain 9-Cell Cavity",1022 1024,
thp121,"G. Isoyama, ISIR, Osaka; H. Hayano, KEK, Ibaraki; S. Kashiwagi, Tohoku University, Research Center for Electron Photon Science, Sendai; R. Kato, ISIR, Osaka; M. Kuriki, HU/AdSM, Higashi-Hiroshima; N. Sugimoto, ISIR, Osaka; H. Sugiyama, T. Takatomi, J. Urakawa, KEK, Ibaraki","Development of an L-band RF Gun for High-duty-cycle Operation",1025 1027,
tu101,"G. Penco, ELETTRA, Basovizza","Overview of FELs under Construction Including FELs at Fermi Elettra, SPRing8 and Frascati SPARC",337 341,
tu102,"H.-H. Braun, PSI, Villigen","Overview of Proposals for Major FEL Facilities",342 346,
tu103,"G. Neil, JLAB, Newport News, Virginia","Worldwide ERL R&D Overview Including JLAMP, BNL, and Cornell ERLs",347 351,
tu104,"N. Fukunishi, RIKEN Nishina Center, Wako","RIBF and Other Radioactive Isotope Beam Facilities",352 356,
tu201,"H. Ao, JAEA/LINAC, Ibaraki-ken","Status of J-PARC Linac Energy Upgrade",357 361,
tu202,"H.F. Ouyang, S. Fu, J. Li, T.G. Xu, X. Yin, IHEP Beijing, Beijing","The High Intensity Proton Linac for CSNS",362 366,
tu203,"S. Peggs, ESS, Lund; S. Bousson, IPN, Orsay; R. Calaga, BNL, Upton, Long Island, New York; H. Danared, MSL, Stockholm; G. Devanz, R.D. Duperrier, CEA, Gif-sur-Yvette; J. Eguia, Fundación TEKNIKER, Eibar (Gipuzkoa); M. Eshraqi, ESS, Lund; S. Gammino, INFN/LNS, Catania; H. Hahn, A. Jansson, M. Lindroos, ESS, Lund; S.P. Møller, ISA, Aarhus; C. Oyon, SPRI, Bilbao; A. Ponton, K. Rathsman, ESS, Lund; R.J.M.Y. Ruber, Uppsala University, Uppsala; T. Satogata, JLAB, Newport News, Virginia; C.G. Trahern, ESS, Lund","Plans for the ESS Linac",367 371,
tu301,"A. Pisent, INFN/LNL, Legnaro (PD)","RFQ for CW Applications",372 376,
tu302,"J.R. Delayen, ODU, Norfolk, Virginia","Applications of Spoke Cavities",377 381,
tu303,"M. Liepe, CLASSE, Ithaca, New York","Status of the Cornell ERL Injector Cryomodule",382 386,
tu304,"M.P. Kelly, ANL, Argonne","High-Performance SC Cryomodule for CW Ion Accelerators",387 390,
tup001,"R. Zennaro, J. Alex, M. Bopp, H.-H. Braun, A. Citterio, H. Fitze, M. Pedrozzi, J.-Y. Raguin, PSI, Villigen","Conceptual Design of the C-Band Module for SwissFEL",392 394,
tup002,"A. Fabris, P. Craievich, P. Delgiusto, F. Gelmetti, M.M. Milloch, A. Milocco, F. Pribaz, A. Rohlev, C. Serpico, N. Sodomaco, R. Umer, L. Veljak, D. Wang, ELETTRA, Basovizza","FERMI@Elettra: Installation and Commissioning of the S-Band RF System",395 397,
tup004,"S. Sakanaka, KEK, Ibaraki; R. Hajima, JAEA/ERL, Ibaraki; H. Kawata, Y. Kobayashi, KEK, Ibaraki; N. Nakamura, ISSP/SRL, Chiba","Status of ERL and cERL Projects in Japan",398 400,
tup005,"K. Watanabe, E. Kako, S. Noguchi, M. Satoh, T. Shishido, Y. Yamamoto, KEK, Ibaraki","Status of Development of the cERL Superconducting Injector Linac",401 403,
tup006,"K. Umemori, T. Furuya, H. Sakai, KEK, Ibaraki; M. Sawamura, JAEA/ERL, Ibaraki; K. Shinoe, ISSP/SRL, Chiba; T. Takahashi, KEK, Ibaraki","Development of a Main Linac Module for Compact ERL Project",404 406,
tup007,"J. Knobloch, M. Abo-Bakr, W. Anders, A. Jankowiak, T. Kamps, O. Kugeler, B.C. Kuske, P. Kuske, A.N. Matveenko, A. Meseck, A. Neumann, T. Quast, J. Rudolph, HZB, Berlin","BERLinPro - A Compact Demonstrator ERL for High Current and Low Emittance Beams",407 409,
tup009,"T. Schietinger, M. Aiba, B. Beutner, M. Dach, A. Falone, R. Ganter, R. Ischebeck, F. Le Pimpec, N. Milas, P. Narang, G.L. Orlandi, M. Pedrozzi, S. Reiche, C. Vicario, PSI, Villigen","First Commissioning Experience at the SwissFEL Injector Test Facility",410 412,
tup010,"J.K. Sekutowicz, M. Ebert, DESY, Hamburg; P. Kneisel, JLAB, Newport News, Virginia; F. Mittag, DESY, Hamburg; R. Nietubyc, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock","Test Results of Components for CW and Near-CW Operation of a Superconducting Linac",413 415,
tup011,"L.V. Kravchuk, RAS/INR, Moscow; A. Anisimov, MEPhI, Moscow; D. Churanov, Nano, Moscow; A. Donat, DESY Zeuthen, Zeuthen; C. Gerth, M. Hoffmann, M. Hüning, DESY, Hamburg; E.V. Ivanov, Nano, Moscow; W. Köhler, M. Krasilnikov, DESY Zeuthen, Zeuthen; S.V. Kutsaev, Nano, Moscow; M.V. Lalayan, MEPhI, Moscow; J. Meissner, DESY Zeuthen, Zeuthen; V.V. Paramonov, RAS/INR, Moscow; M. Pohl, J. Schultze, DESY Zeuthen, Zeuthen; A.Yu. Smirnov, N.P. Sobenin, MEPhI, Moscow; F. Stephan, G. Trowitzsch, DESY Zeuthen, Zeuthen; M. Urbant, Nano, Moscow; R.W. Wenndorff, DESY Zeuthen, Zeuthen; A.A. Zavadtsev, D.A. Zavadtsev, Nano, Moscow","Layout of the PITZ Transverse Deflecting System for Longitudinal Phase Space and Slice Emittance Measurements",416 418,
tup012,"J. Bödewadt, A. Azima, Uni HH, Hamburg; S. Bajt, DESY, Hamburg; F. Curbis, H. Delsim-Hashemi, M. Drescher, Uni HH, Hamburg; S. Düsterer, DESY, Hamburg; E. Hass, U. Hipp, Uni HH, Hamburg; K. Honkavaara, DESY, Hamburg; R. Ischebeck, PSI, Villigen; S. Khan, DELTA, Dortmund; T. Laarmann, DESY, Hamburg; Th. Maltezopoulos, V. Miltchev, M. Mittenzwey, M. Rehders, J. Roßbach, J. Rönsch-Schulenburg, Uni HH, Hamburg; H. Schlarb, DESY, Hamburg; R. Tarkeshian, M. Wieland, Uni HH, Hamburg","sFLASH - First Results of Direct Seeding at Flash",419 421,
tup013,"E.R. Harms, H.T. Edwards, Fermilab, Batavia; M. Hüning, E. Vogel, DESY, Hamburg","Commissioning and Early Operating Experience of the FLASH Third Harmonic RF System",422 424,
tup014,"H. Hanaki, T. Asaka, H. Ego, JASRI/SPring-8, Hyogo-ken; T. Fukui, T. Inagaki, RIKEN/SPring-8, Hyogo; H. Kimura, T. Kobayashi, JASRI/SPring-8, Hyogo-ken; N. Kumagai, Y. Otake, T. Shintake, RIKEN/SPring-8, Hyogo; S. Suzuki, JASRI/SPring-8, Hyogo-ken; K. Togawa, RIKEN/SPring-8, Hyogo; M. Yamaga, JASRI/SPring-8, Hyogo-ken","Construction of Injector System for SPring-8 X-FEL",425 427,
tup015,"C.D. Nantista, C. Adolphsen, K.L.F. Bane, Z. Huang, Z. Li, F. Wang, F. Zhou, SLAC, Menlo Park, California","A Compact X-band Linac for an X-ray FEL",428 430,
tup016,"G. D'Auria, ELETTRA, Basovizza","A Proposal for Increasing the Energy of the Fermi@elettra Linac",431 433,
tup017,"V.V. Paramonov, L.V. Kravchuk, RAS/INR, Moscow","The Resonant Method of Stabilization for Plane of Deflection in the Disk Loaded Deflecting Structures",434 436,
tup019,"S. Fu, S.X. Fang, IHEP Beijing, Beijing; X. Guan, CIAE, Beijing; J.Q. Wang, IHEP Beijing, Beijing","Proton Linac for ADS Application in China",437 439,
tup020,"J.-L. Biarrotte, IPN, Orsay; H. Klein, IAP, Frankfurt am Main; A.C. Mueller, IN2P3, Paris; P. Pierini, INFN/LASA, Segrate (MI); D. Vandeplassche, SCK-CEN, Mol","Accelerator Reference Design for the MYRRHA European ADS Demonstrator",440 442,
tup021,"H.-J. Kwon, Y.-S. Cho, J.-H. Jang, D.I. Kim, H.S. Kim, K.T. Seol, Y.-G. Song, KAERI, Daejon","100MeV Proton Accelerator Components Tests by Using 20 MeV Linac",443 445,
tup022,"X. Guan, TUB, Beijing","A Linac for Compact Pulsed Hadron Source Project AT Tsinghua University Beijing",99 98,
tup023,"F.D. Dziuba, M. Busch, H. Klein, H. Podlech, U. Ratzinger, C. Zhang, IAP, Frankfurt am Main","CH-Cavity Development for the 17 MeV EUROTRANS Injector",446 448,
tup024,"K. Hasegawa, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Status of the J-PARC Linac",449 451,
tup025,"K.W. Jones, J.L. Erickson, R.W. Garnett, M.S. Gulley, LANL, Los Alamos, New Mexico","Operational Status and Life Extension Plans for the Los Alamos Neutron Science Center (LANSCE)",452 454,
tup026,"D. Raparia, J.G. Alessi, B. Briscoe, J.M. Fite, O. Gould, V. LoDestro, M. Okamura, J. Ritter, A. Zelenski, BNL, Upton, Long Island, New York","Low and Medium Energy Beam Trasport Upgrade at BNL 200 MeV Linac",455 457,
tup027,"M. Okamura, B. Briscoe, J.M. Fite, BNL, Upton, Long Island, New York; N. Hayashizaki, RLNR, Tokyo; V. LoDestro, D. Raparia, J. Ritter, BNL, Upton, Long Island, New York","A New Medium Energy Beam Transport Line for the Proton Injector of AGS-RHIC",458 460,
tup028,"J.K. Pozimski, Imperial College of Science and Technology, Department of Physics, London; J.J. Back, University of Warwick, Coventry; M.A. Clarke-Gayther, D.C. Faircloth, STFC/RAL/ISIS, Chilton, Didcot, Oxon; R.D. Howard, S. Jolly, Imperial College of Science and Technology, Department of Physics, London; S.R. Lawrie, A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon; D.C. Plostinar, STFC/RAL/ASTeC, Chilton, Didcot, Oxon","Status of the FETS Commissioning and Comparison with Particle Tracking Results",461 463,
tup029,"E.S.M. McCrory, F.G. Garcia, T.K. Kroc, A. Moretti, M. Popovic, Fermilab, Batavia","Continued Monitoring of the Conditioning of the Fermilab Linac 805 MHz Cavities",464 466,
tup031,"V.G. Vaccaro, Naples University Federico II and INFN, Napoli; S. Barone, NRT, Aprilia; L. Calabretta, INFN/LNS, Catania; C. De Martinis, Universita' degli Studi di Milano & INFN, Segrate; L. Gini, D. Giove, INFN/LASA, Segrate (MI); S. Lanzone, ADAM, Geneva; M.R. Masullo, INFN-Napoli, Napoli; A.C. Rainò, Bari University, Science Faculty, Bari; A. Rovelli, INFN/LNS, Catania; V. Variale, INFN-Bari, Bari","A Side Coupled Proton Linac Module 30-35 MeV: First Acceleration Tests",467 469,
tup033,"D. Raparia, J.G. Alessi, E.N. Beebe, BNL, Upton, Long Island, New York; R. M. Brodhage, IAP, Frankfurt am Main; T. Kanesue, Kyushu University, Hakozaki; K. Kondo, R.F. Lambiase, V. LoDestro, R. Lockey, M. Mapes, A. McNerney, M. Okamura, D. Phillips, A.I. Pikin, BNL, Upton, Long Island, New York; U. Ratzinger, IAP, Frankfurt am Main; J. Ritter, J. Scaduto, L. Smart, L. Snydstrup, BNL, Upton, Long Island, New York; R. Tiede, IAP, Frankfurt am Main; M. Wilinski, A. Zaltsman, BNL, Upton, Long Island, New York","Commissioning of the IH Linac and High Energy Beam Transport of the EBIS Based Preinjector for RHIC",470 472,
tup034,"M. Okamura, J.G. Alessi, E.N. Beebe, BNL, Upton, Long Island, New York; T. Kanesue, Kyushu University, Hakozaki; K. Kondo, R.F. Lambiase, V. LoDestro, R. Lockey, M. Mapes, A. McNerney, D. Phillips, A.I. Pikin, D. Raparia, J. Ritter, BNL, Upton, Long Island, New York; A. Schempp, J.S. Schmidt, IAP, Frankfurt am Main; L. Smart, L. Snydstrup, BNL, Upton, Long Island, New York; J. Tamura, Department of Energy Sciences, Tokyo Institute of Technology, Yokohama; M. Vossberg, IAP, Frankfurt am Main; A. Zaltsman, BNL, Upton, Long Island, New York; C. Zhang, IAP, Frankfurt am Main","Beam Commissioning Results for the RFQ and MEBT of the EBIS Based Preinjector for RHIC",473 475,
tup035,"L. Lu, T. Hattori, N. Hayashizaki, RLNR, Tokyo","Design Study of C6+ Hybrid Single Cavity Linac for Cancer Therapy",476 478,
tup036,"C. Cheng, T. Du, X. Guan, J. Wei, S.X. Zheng, TUB, Beijing","The RF System for the Compact Pulse Hadron Source",479 481,
tup037,"Y. He, W. Chang, IMP, Lanzhou; J.E. Chen, PKU/IHIP, Beijing; X. Du, IMP, Lanzhou; M. Kang, Y.R. Lu, PKU/IHIP, Beijing; Y. Ma, L.P. Sun, Z.J. Wang, J.W. Xia, C. Xiao, Y.Q. Yang, S.H. Zhang, Z.L. Zhang, H.W. Zhao, IMP, Lanzhou; Q.F. Zhou, K. Zhu, PKU/IHIP, Beijing","Conceptual Design of Linear Injector for SSC of HIRFL",482 484,
tup038,"R.W. Garnett, M.S. Gulley, LANL, Los Alamos, New Mexico","Matter-Radiation Interactions in Extremes",485 487,
tup039,"U. Bartz, A. Schempp, IAP, Frankfurt am Main","The New cw RFQ Prototype",488 490,
tup040,"J.M. Maus, IAP, Frankfurt am Main; A. Bechtold, NTG, Gelnhausen; A. Schempp, IAP, Frankfurt am Main","Measurements at the MAFF IH-RFQ Test Stand at the IAP Frankfurt",491 493,
tup041,"M. Vossberg, IAP, Frankfurt am Main; W.A. Barth, L.A. Dahl, GSI, Darmstadt; A. Schempp, C. Zhang, IAP, Frankfurt am Main","The New GSI HLI-RFQ for CW-Operation",494 496,
tup042,"C. Rossi, P. Bourquin, CERN, Geneva; M. Desmons, A. France, CEA, Gif-sur-Yvette; J.-B. Lallement, CERN, Geneva; Y. Le Noa, CEA, Gif-sur-Yvette; A.M. Lombardi, S.J. Mathot, CERN, Geneva; J. Novo, O. Piquet, CEA, Gif-sur-Yvette; D. Pugnat, M.A. Timmins, G. Vandoni, M. Vretenar, CERN, Geneva","Progress in the Fabrication of the RFQ Accelerator for the CERN Linac4",497 499,
tup043,"Y. Liu, X. Du, X.H. Guo, Y. He, IMP, Lanzhou; R.A. Jameson, IAP, Frankfurt am Main; M. Okamura, BNL, Upton, Long Island, New York; A. Schempp, IAP, Frankfurt am Main; S. Sha, A. Shi, L.P. Sun, IMP, Lanzhou; M. Vossberg, IAP, Frankfurt am Main; Z. Xu, W.-L. Zhan, H. Zhao, IMP, Lanzhou; H. Zimmermann, IAP, Frankfurt am Main","Testing of IMP LIS-RFQ",500 502,
tup044,"Z.L. Zhang, X.H. Guo, Y. He, IMP, Lanzhou; R.A. Jameson, IAP, Frankfurt am Main; Y. Liu, IMP, Lanzhou; M. Okamura, BNL, Upton, Long Island, New York; A. Schempp, IAP, Frankfurt am Main; S. Sha, A. Shi, L.P. Sun, H.W. Zhao, IMP, Lanzhou","A Two-meter Long RFQ for the Direct Plasma Injection Scheme at IMP",503 505,
tup045,"J. Rodnizki, Z. Horvitz, Soreq NRC, Yavne","RF and Heat Flow Simulations of the SARAF RFQ 1.5 MeV/nucleon Proton/Deuteron Accelerator",506 508,
tup046,"Q.Z. Xing, Y.J. Bai, TUB, Beijing; J.H. Billen, LANL, Los Alamos, New Mexico; J.C. Cai, TUB, Beijing; W.Q. Guan, NUCTECH, Beijing; X. Guan, TUB, Beijing; Y. He, J. Li, NUCTECH, Beijing; J. Stovall, CERN, Geneva; X.W. Wang, J. Wei, Z.F. Xiong, TUB, Beijing; L.M. Young, LANL, Los Alamos, New Mexico; H.Y. Zhang, TUB, Beijing","Development of the 3MeV RFQ for the Compact Pulsed Hadron Source at Tsinghua University",509 511,
tup047,"K.R. Shin, ORNL, Oak Ridge, Tennessee; A.E. Fathy, University of Tennessee, Knoxville, Tennessee; Y.W. Kang, S.-H. Kim, A.V. Vassioutchenko, ORNL, Oak Ridge, Tennessee","Investigation on Mode Separation Methods and Accuracy of Field Measurement in RFQ Structures with 3-D Electromagnetic Simulation",512 514,
tup048,"R.C. Webber, T.N. Khabiboulline, R.L. Madrak, G.V. Romanov, V.E. Scarpine, J. Steimel, D. Wildman, Fermilab, Batavia","Experiences with the Fermilab HINS 325 MHz RFQ",515 517,
tup049,"T. Morishita, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Baba, KEK, Ibaraki; K. Hasegawa, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; Y. Hori, H. Kawamata, KEK, Ibaraki; Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Matsumoto, F. Naito, Y. Saito, M. Yoshioka, KEK, Ibaraki","Vane Machining by the Ball-end-mill for the New RFQ in the J-PARC Linac",518 520,
tup050,"T. Morishita, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Baba, KEK, Ibaraki; K. Hasegawa, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; Y. Hori, H. Kawamata, KEK, Ibaraki; Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Matsumoto, F. Naito, Y. Saito, M. Yoshioka, KEK, Ibaraki","Vacuum Brazing of the New RFQ for the J-PARC Linac",521 523,
tup052,"S.P. Virostek, M.D. Hoff, D. Li, J.W. Staples, LBNL, Berkeley, California","Preliminary Concept for the Project X CW Radio-frequency Quadrupole (RFQ)",524 526,
tup053,"Y.-S. Cho, J.-H. Jang, H.S. Kim, H.-J. Kwon, KAERI, Daejon","Preliminary Design of a 70MHz RFQ for Radio Isotope Beams",527 529,
tup054,"S. Emhofer, Siemens Med, Erlangen; H.K. Andersen, M. Budde, F. Bødker, Siemens DK, Jyllinge; O. Chubarov, Siemens Med, Erlangen; J.S. Gretlund, Siemens DK, Jyllinge; I. Hollenborg, Siemens Med, Erlangen; H.B. Jeppesen, Siemens DK, Jyllinge; C.M. Kleffner, Siemens Med, Erlangen; L. Kruse, Siemens DK, Jyllinge; V.L. Lazarev, M.T. Maier, Siemens Med, Erlangen; C.V. Nielsen, C.G. Pedersen, Siemens DK, Jyllinge; H. Rohdjess, B. Schlitt, T. Sieber, B. Steiner, Siemens Med, Erlangen; Ka.T. Therkildsen, Siemens DK, Jyllinge; P. Urschütz, Siemens Med, Erlangen; S.V. Weber, Siemens DK, Jyllinge","Latest Commisioning Results of the Siemens Particle Therapy RFQ",530 532,
tup055,"A. Palmieri, F. Grespan, A. Pisent, INFN/LNL, Legnaro (PD); F. Scantamburlo, INFN- Sez. di Padova, Padova","3D Aspects of the IFMIF-EVEDA RFQ: Design and Optimization of the Vacuum Grids, of the Slug Tuners and of the End Cell",533 535,
tup057,"E. Fagotti, M. Comunian, F. Grespan, A. Palmieri, A. Pisent, C. Roncolato, INFN/LNL, Legnaro (PD)","Completion of the Fabrication of TRASCO RFQ",536 538,
tup058,"F. Scantamburlo, INFN- Sez. di Padova, Padova; M. Comunian, E. Fagotti, F. Grespan, A. Palmieri, INFN/LNL, Legnaro (PD); A. Pepato, INFN- Sez. di Padova, Padova; A. Pisent, INFN/LNL, Legnaro (PD)","3D Thermo Mechanical Study on IFMIF-EVEDA RFQ",539 541,
tup059,"B. Mustapha, A. Kolomiets, P.N. Ostroumov, ANL, Argonne","Full 3D Modeling of a Radio-Frequency Quadrupole*",542 544,
tup060,"V.V. Paramonov, RAS/INR, Moscow","Possibility of Thermal Instability for 4-vane RFQ Operation with High Heat Loading",545 547,
tup061,"X. Yin, S. Fu, K.Y. Gong, L. Liu, J. Peng, H. Song, Y.C. Xiao, IHEP Beijing, Beijing","Development of a 324 MHz Drift Tube Linac for CSNS",548 550,
tup062,"X. Yin, S. Fu, K.Y. Gong, J. Peng, Q.L. Peng, Y.C. Xiao, B. Yin, IHEP Beijing, Beijing","Development of a Quadrupole Magnet for CSNS DTL",551 553,
tup063,"X. Yin, S. Fu, K.Y. Gong, A.H. Li, H.C. Liu, J. Peng, Z.R. Sun, Y.C. Xiao, IHEP Beijing, Beijing","Design of the CSNS DTL",554 556,
tup064,"Z.J. Wang, Y. He, W. Wu, C. Xiao, Y.Q. Yang, IMP, Lanzhou","The Optimization Design and Tolerance Analysis of DTL in SSC-INAC",557 559,
tup065,"Z. Li, Southwest University of Science and Technology, Mianyang, Sichuan","Concept Design of CW SC Proton Linac Based on Spoke Cavity for China ADS",99 98,
tup066,"S. Ramberger, P. Bourquin, Y. Cuvet, A. Dallocchio, G. De Michele, F. Gerigk, J.-M. Giguet, J.-B. Lallement, A.M. Lombardi, E. Sargsyan, M. Vretenar, CERN, Geneva","Production Design of the Drift Tube Linac for the CERN Linac4",560 562,
tup067,"H. Sako, M. Ikegami, A. Miura, G.H. Wei, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Reduction of Transverse Emittance Growth in J-PARC DTL",563 565,
tup068,"T. Ito, JAEA/LINAC, Ibaraki-ken; C. Kubota, F. Naito, K. Nanmo, KEK, Ibaraki","Operation Experiences of the DTL/SDTL for the J-PARC",566 568,
tup069,"F. Naito, KEK, Ibaraki; H. Asano, T. Ito, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Nanmo, H. Tanaka, KEK, Ibaraki","Radiation from the SDTL of J-PARC",569 571,
tup070,"K. Yamada, S. Arai, Y. Chiba, H. Fujisawa, E. Ikezawa, O. Kamigaito, M. Kase, N. Sakamoto, K. Suda, RIKEN Nishina Center, Wako; Y. Touchi, SHI, Tokyo; Y. Watanabe, RIKEN Nishina Center, Wako","RF-design and Construction of New Linac Injector for the RIKEN RI-Beam Factory",572 574,
tup071,"S.X. Zheng, TUB, Beijing; J.H. Billen, TechSource, Santa Fe, New Mexico; X. Guan, TUB, Beijing; Y. He, J. Li, NUCTECH, Beijing; J.H. Li, CIAE, Beijing; J. Stovall, CERN, Geneva; J. Wei, TUB, Beijing; L.M. Young, TechSource, Santa Fe, New Mexico; H.Y. Zhang, TUB, Beijing; Y.L. Zhao, IHEP Beijing, Beijing; D.-S. zhang, NUCTECH, Beijing","Research on Drift Tube Linac Model Cavity for CPHS",575 577,
tup072,"F. Grespan, INFN/LNL, Legnaro (PD); G. De Michele, S. Ramberger, M. Vretenar, CERN, Geneva","An Equivalent Circuit for Post Coupler Stabilization in a Drift Tube Linac",578 580,
tup073,"S. Minaev, N.N. Alexeev, A. Golubev, V.A. Koshelev, T. Kulevoy, B.Y. Sharkov, A. Sitnikov, ITEP, Moscow","Electro-Dynamics Characteristics of RF Wobbler Cell for Heavy Ion Beam",581 583,
tup074,"L. Weissman, D. Berkovits, Y. Yanay, Soreq NRC, Yavne","LEBT Beam Tuning Using Neutralized Ions in the SARAF Front End",584 586,
tup075,"A. Miura, M. Ikegami, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Sako, JAEA, Ibaraki-ken; G.H. Wei, KEK/JAEA, Ibaraki-Ken","Residual Gas Pressure Dependence of Beam Loss",587 589,
tup076,"A. Miura, JAEA/J-PARC, Tokai-mura; Z. Igarashi, KEK, Ibaraki; M. Ikegami, J-PARC, KEK & JAEA, Ibaraki-ken; N. Kikuzawa, T. Maruta, JAEA/J-PARC, Tokai-mura; T. Miyao, KEK, Ibaraki; H. Sako, JAEA, Ibaraki-ken; S. Sato, JAEA/LINAC, Ibaraki-ken; K. Yamamoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Status of Beam Loss Evaluation at J-PARC Linac",590 592,
tup077,"I. Terechkine, J. DiMarco, W. Schappert, D.A. Sergatskov, M.A. Tartaglia, Fermilab, Batavia","Solenoid-Based Focusing in a Proton Linac",593 595,
tup079,"N. Dhanaraj, S. Barbanotti, J.S. Brandt, H. Carter, M.H. Foley, J. Grimm, T.N. Khabiboulline, R. Wands, Fermilab, Batavia","SS Helium Vessel Development for 1.3 GHz SRF Cavities at Fermilab",596 598,
tup081,"T.T. Arkan, H. Carter, M.S. Champion, E.R. Harms, R.D. Kephart, J.R. Leibfritz, Fermilab, Batavia","Superconducting RF Cryomodule Production and Testing at Fermilab",599 601,
tup082,"E. Kako, H. Hayano, Y. Kojima, T. Matsumoto, H. Nakai, S. Noguchi, N. Ohuchi, M. Satoh, T. Shishido, K. Watanabe, Y. Yamamoto, KEK, Ibaraki","Cryomodule Tests of Tesla-like Cavities in S1-Global for ILC",602 604,
tup085,"P.I. Reinhardt-Nickoulin, A. Feschenko, S.A. Gavrilov, I.V. Vasilyev, RAS/INR, Moscow","Beam Cross Section Monitor for INR Linac",605 607,
tup086,"S.A. Kondrashev, A. Barcikowski, A. Levand, P.N. Ostroumov, R.C. Pardo, G. Savard, R.H. Scott, T. Sun, R.C. Vondrasek, G.P. Zinkann, ANL, Argonne","Emittance Measurements for Stable and Radioactive Ion Beams",608 610,
tup087,"C.K. Allen, W. Blokland, J. Galambos, ORNL, Oak Ridge, Tennessee","Beam Profile Measurements and Matching at SNS: Practical Considerations and Accommodations",611 613,
tup089,"A.P. Zhukov, A.V. Aleksandrov, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","Transverse Emittance Measurements in MEBT at SNS",614 616,
tup090,"J.Y. Kim, H.-C. Bhang, D.G. Kim, SNU, Seoul; J.-W. Kim, NCC, Korea, Kyonggi","Development of a Bunch Length Detector",617 619,
tup091,"J. Rodnizki, A. Perry, L. Weissman, Soreq NRC, Yavne","Energy and Energy Spread Measurements Using the Rutherford Scattering Technique for Tuning the SARAF Superconducting Linac",620 622,
tup092,"M. Marchetto, J. Aoki, K. Langton, R.E. Laxdal, W.R. Rawnsley, J.E. Richards, TRIUMF, Vancouver","The ISAC II Current Monitor System",623 625,
