FRX01A,"D.M. Lewis","Accelerators in Industry",
THP123G,"G. D'Auria, D. Fabiani, A. Milocco, C. Rossi, L. Tosi","Operation of the 100 MeV Pre-Injector Linac of ELETTRA in the FEL Mode",
THP124G,"F.J. Decker, D. Farkas, L. Rinolfi, J. Truher","Reducing Energy Spread for Long Bunch Train at SLAC",
THP125G,"L. Bertolini, G.B. Bowden, H. DeStaebler, S. Ecklund, J. Hodgson, D. Humphries, M. Kendall, T. Mattison, M. Nordby, A. Ringwall, J. Seeman, M. Sullivan, J. Swan, D. Walz, U. Wienands, B. Yamamoto, F. Younger, M. Zisman","Interaction Region Design at the PEP-II B Factory",
THP126G,"R.M. Jones, K. Ko, N.M. Kroll, R.H. Miller, K.A. Thompson","Equivalent Circuit Analysis of the SLAC Damped Detuned Structure",
THP127G,"S. Ecklund, J. Seeman, M. Sullivan, U. Wienands, M. Zisman","The Beam-Stay-Clear Definition of the PEP-II B Factory",
THP128G,"P. Bellomo, C. Belser, L. Bertolini, E. Daly, A.S. Fisher, J. Gracia, A. Kulikov, N. Kurita, M. Mugge, M. Pietryka, E. Reuter, J. Seeman, J. Swan, T. Taylor, U. Wienands","Status of the PEP-II B-Factory High Energy Ring",
THP129G,"M. Pavlovic","Recent Development of Gantry Design Activities at GSI Darmstadt",
THP131G,"T. Weiland, U. van Rienen","Coupled Calculation of Electromagnetic Fields and Stationary Temperature Distributions",
THP132G,"Y. Batygin, A. Goto, O. Kamigaito, Y. Yano","Beam Transmission Efficiency Study at RIKEN RFQ Linac",
THP133G,"S. Koscielniak","Correction of Field Errors in ISAC RFQ",
THP134G,"J.R. Cary, S.G. Shasharina, W. Wan","Mapa - An Object Oriented Code with a Graphical User Interface for Accelerator Design and Analysis",
THP135G,"G. Blokesch, J. Friedl, A. Jankowiak, C. Piel, T. Weis, K. Wille","The Injector Linac of the DELTA-Facility",
THP137G,"C.R.I. Emson, C.P. Riley, D. Walsh","Resonant Cavity Design using the Finite Element Method",
THP138G,"Lj. Milinkovic, D. Toprek","Axial Focusing in the Acceleration Gaps of the Cyclotron",
THX01A,"H. Schmickler","Highlights from Beam Diagnostics",
THX02A,"A. Hofmann","Impedance Measurements, Computations and their Interpretation",
THX03A,"M. Serio, et al.","Multibunch Instabilities and Cures",
THY01A,"J. Chavanne, P. Elleaume, P. Van Vaerenbergh","Recent Advances in Insertion Devices",
THY02A,"M.E. Couprie","FELs using Storage Rings",
THY03A,"A. Renieri","Linac-based Short Wavelength FELs",
THY04A,"M. Harrison","The RHIC Project",
THZ01A,"P.E. Gear","Beam Induced Radiation Problems and Cures",
TUO01A,"R. Bartolini, A. Faus-Golfe, M. Giovannozzi, W. Scandale, E. Todesco","Early Indicators of Long Term Stability in Hadron Colliders",
TUO02A,"R. Nagaoka, A. Wrulich","Modelling of Low Frequency Longitudinal Coupled Bunch Oscillation",
TUO03A,"T. Holmquist, J.T. Rogers","Transverse Coupled Bunch Mode Growth due to Photoelectron Trapping in the CESR Vacuum Chamber",
TUO04A,"M. Dohlus, P. Huelsmann, H. Klein, M. Kurz, W.F.O. Mueller, U. Niermann, O. Podebrad, T. Weiland, U. van Rienen","Higher-Order Modes in a 36-Cell Test Structure",
TUO05A,"J. Bisognano","Solitary Waves in Particle Beams",
TUO06A,"J.B. Rosenzweig, L. Serafini","Envelope Description of Quasi-Laminar Beams undergoing Reversible Emittance Transformations",
TUP001G,"Z. Feng","Impedance Study for a Slotted-Pipe Kicker Model",
TUP001L,"X.S. Geng, L. Ma, P. Shi, K.R. Ye","Beam Position Monitoring System for the BEPC Storage Ring",
TUP002G,"Y.C. Chae, Y. Cho, E. Crosbie, H. Friedsam, D. Horan, R. Kustom, E. Lessner, W. McDowell, D. McGhee, H. Moe, R. Nielsen, G. Norek, K. Peterson, K. Thompson, M. White","A 2-GeV, 1-MW Pulsed Proton Source for a Spallation Source",
TUP002L,"J.S. Chen, H.J. Cheng, T.H. Li, X.Y. Na, S.M. Tang, J.M. Wu, J.X. Yan, Y.L. Yu, W. Zhen","New Interlock System for BEPC",
TUP003G,"Y.C. Chae, Y. Cho, E. Crosbie, K. Harkay, D. Horan, R. Kustom, E. Lessner, W. McDowell, D. McGhee, H. Moe, R. Nielsen, G. Norek, K. Peterson, K. Thompson, M. White","A 10-GeV, 5-MW Pulsed Proton Source for a Spallation Source and a Muon Collider",
TUP003L,"S. Lu, H. Zhang, R. Zhang","A Control System for BEPC Storage Ring Injection Power Supplies",
TUP004G,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","FEL Based Photon Collider of TeV Energy Range",
TUP005G,"E.L. Saldin, E.A. Schneidmiller, Yu.N. Ulyanov, M.V. Yurkov","Conceptual Study of an FEL Based Gamma-Gamma Collider at TESLA-500",
TUP005L,"P. Kuske, Th. Mayer","Set Up for Beam Energy Measurements at BESSY II",
TUP006L,"J. Safranek, P.M. Stefan","Emittance Measurement at the NSLS X-Ray Ring",
TUP007G,"E. Weihreter, et al.","The BESSY II Booster Synchrotron",
TUP007L,"I. Ben-Zvi, Z. Segalov, X.J. Wang","Experimental Characterization of ATF Beam Position Monitor",
TUP008G,"M. Abo-Bakr, G. Wuestefeld","Sorting of Magnets for the BESSY II Booster and Storage Ring",
TUP008L,"A. Batrakov, T. Bolshakov, S. Kuznetsov, E. Levichev, V. Sajaev, V. Shilo, V.V. Smaluk","Beam Position Monitor with the Digital Signal Processing",
TUP009G,"F. Dell, S. Peggs, F. Pilat","RHIC Tracking Studies with Real Magnets in Real Places",
TUP009L,"A.S. Kalinin, D.N. Shatilov, E.A. Simonov, V.V. Smaluk","Beam Diagnostic System for Storage Rings",
TUP010G,"R. Palmer, A. Sessler, A. Tollestrup","Progress on the Design of a High Luminosity Muon Collider",
TUP010L,"A.N. Dubrovin, A.S. Kalinin, D.N. Shatilov, E.A. Simonov, V.V. Smaluk","Applications of Beam Diagnostic System at the VEPP-4 ",
TUP011G,"M. Brennan, T. Roser","High Intensity Performance of the Brookhaven AGS",
TUP011L,"J. Bardy, C. Bonnafond, A. Devin, E. Merle, D. Villate","Status of AIRIX Alignment and High Current Electron Beam Diagnostics",
TUP012G,"L. Blumberg, A. Luccio, A.G. Ruggiero, A. van Steenbergen","Comparison of Synchrotron and Accumulator Scenarios for a 5-MW Pulsed Spallation Neutron Source",
TUP012L,"J. Fusellier, J.M. Joly","Beam Intensity Monitoring and Machine Protection by Toroidal Transformers on the TESLA Test Facility",
TUP013G,"A. Mosnier, A. Sery","New Studies of Emittance Growth and Correction Techniques for the TESLA Linac",
TUP013L,"C. Couillaud, G. Haouat, A. Loulergue","Electron Beam Transverse Emittance Measurement using Optical Transition Radiation Interferometry",
TUP014G,"F. Caspers, A. Feschenko, D. Moehl, F. Pedersen, L. Soby, D. Williams","Measurement of the Magnetic Field Ripple Experienced by a Stored Beam",
TUP015G,"K. Aulenbacher, H.H. Braun, F. Chautard, R. Corsini, J.H.B. Madsen, L. Rinolfi","Bunch Compressor Performances at the CLIC Test Facility",
TUP015L,"P. Baudrenghien, E. Bracke, T. Linnecar, H. Marty, J. Molendijk, Y. Pilchen, U. Wehrle, F. Weierud","The New RF Control System for the CERN SPS Accelerator",
TUP016G,"T. Linnecar, E. Shaposhnikova","Another Method to Measure the Low-Frequency Machine Impedance",
TUP016L,"C. Bovet, R. Jung","A New Diagnostic for Betatron Phase Space Matching at Injection into a Circular Accelerator",
TUP017G,"R. Bartolini, M. Giovannozzi, W. Scandale, E. Todesco","Proposal of a Sorting Experiment at the CERN SPS",
TUP017L,"A. Campbell, A. Gagnaire, R. Garoby, S. Hancock, W. Heinze, J.M. Nonglaton, C.H. Sicard","A VME-based Measurement System for RF Parameters in the CERN PS",
TUP018G,"R. Bartolini, A. Bazzani, M. Giovannozzi, W. Scandale, E. Todesco","Algorithms for a Precise Determination of the Betatron Tune",
TUP018L,"B. Autin, V. Ducas, O. Jensen, A. Kazymov, M. Lindroos, J. Schinzel, E. Wildner","Generic Configuration Management System for Documentation and On-line Beam Optics Applications in the CERN PS Complex",
TUP019G,"O. Bruening, T. Linnecar, F. Ruggiero, W. Scandale, E. Shaposhnikova, D. Stellfeld","Longitudinal Beam Echo in the CERN-SPS",
TUP019L,"V.M. Zhabitsky","Transverse Feedback System with a Digital Filter and Additional Delay",
TUP020G,"S. Greenwald, D. Rubin, D. Sagan","Betatron Phase Measurements in CESR",
TUP020L,"C. Boccard, W. Hoefle, H. Jakob, L. Jensen, R. Louwerse, H. Schmickler, L. Vos","Tune Measurements in the SPS as Multicycling Machine",
TUP021G,"A. Goto, T. Katayama, Y. Yano","Progress of RIKEN RI Beam Factory Project",
TUP021L,"J. Belleman, V. Chohan, J.L. Gonzalez, S. Johnstone, E. Schulte, E. Thivent","Measurement of the Mean Radial Position of a Lead Ion Beam in the CERN PS",
TUP022G,"T. Katayama, K. Ohtomo, Y. Yuan","Simulation of RF Stacking combined with Cooling Effects",
TUP022L,"N. Rasmussen, H. Schoenauer, M. Sjostrom, E. Wildner","Black-box Parametric Estimation Methods for Longitudinal Beam Transfer Function Measurements",
TUP023L,"J.P.H. Sladen, I. Wilson, W. Wuensch","CLIC Beam Position Monitor Tests",
TUP024G,"J.B. Fitzgerald, M.W. Poole","A Full-Energy Booster for DIAMOND",
TUP024L,"B.G. Martlew, M.J. Pugh, W.R. Rawlinson","Plans for the DIAMOND Control System",
TUP025L,"B.G. Martlew, M.J. Pugh, W.R. Rawlinson","Present Status of the SRS Control System Upgrade Project",
TUP026G,"A.D. Dymnikov, G. Martinez","Optimization of an Axially Symmetrical Electrostatic Focusing System",
TUP026L,"W. Schuette","An Archive System for PETRA",
TUP027G,"A.D. Dymnikov, G. Martinez","A Matrix Method for the Optimization of Nonlinear Quadrupole Focusing System",
TUP027L,"F. Ridoutt, K. Wittenburg","Experience with the Electron and Proton Beam Loss Monitor BLM System at HERA",
TUP028G,"Ya.S. Derbenev, E.L. Saldin, V. Shiltsev","Microbunch Emittance Growth Due to Radiative Interaction",
TUP028L,"J.I.M. Botman, L.W.A.M. Gossens, H.L. Hagedoorn, P.M. Spoek, W.H.C. Theuws, C.J. Timmermans, R.W. de Leeuw","Diagnostic System of the Eindhoven Linac-Racetrack Microtron Combination",
TUP029G,"R. Fedele, S. de Martino, S. de Siena","Coherent States in the Longitudinal Dynamics of Electron Beams in Particle Accelerators",
TUP029L,"A.H. Kemper, E.J. Ridderhof, W.H.C. Theuws, C.J. Timmermans","Electronic Detection Circuit for a Stripline Beam Position Monitor",
TUP030G,"R. Fedele, V.I. Man'ko, G. Miele, S. de Nicola","Evolution of an Off-Axis Coherent State for Particle Beams in the Presence of Small Aberrations",
TUP030L,"K. Scheidt","UV and Visible Light Diagnostics for the ESRF Storage Ring",
TUP031G,"F. Galluccio, F. Klefenz, M.R. Masullo, B. Schwingenheuer, V.G. Vaccaro, R. Wanzenberg, M. Wendt","Measurement of the Longitudinal Coupling Impedance of the HERA-B Vertex Detector Chamber",
TUP031L,"K. Scheidt","Dual Streak Camera at the ESRF",
TUP032G,"J.M. Lefebvre, D. Roux, L. Zhang","WPS Prototype for an Automatic 2D Smoothing of a Storage Ring",
TUP033G,"J.P. Perrine, G. Schmidt, U. Weinrich","Cycling and Injection Improvements on the ESRF Booster",
TUP033L,"H. Koch, H. Muehlig, R. Neubert, A. Peters, H. Reeg, C.H. Schroeder, W. Vodel","Review of the Experimental Results with a Cryogenic Current Comparator",
TUP034G,"L. Zhang","Vibration at the ESRF",
TUP034L,"P. Strehl","Thermal Aspects of Beam Intercepting Diagnostic Devices",
TUP035G,"J. Gonichon, D. Tronc","Acceleration and Bunching in a 6 MV X band Linac",
TUP035L,"A. Drago, A. Ghigo, F. Sannibale, M. Serio, G. di Pirro","The DAFNE Timing System",
TUP036G,"J. Choinski, E. Kulczycka","Warsaw K=160 Heavy Ion Cyclotron - Status Report",
TUP036L,"C. Milardi, A. Stecchi, G. di Pirro","First Operational Experience with the DAFNE Control System",
TUP037G,"D.L. Friesel, S.Y. Lee","CIS, A Low Energy Booster Synchrotron for IUCF",
TUP037L,"M. Castellano, L. Catani, M. Ferrario, P. Patteri, F. Tazzioli","Tesla Test Facility Stripline Readout System",
TUP038G,"L. Calabretta, G. Ciavola, G. Cuttone, S. Gammino, M. Gu, E. Migneco, J. Qin, G. Raia, D. Rifuggiato, A. Rovelli, D. Vinciguerra, H. Wollnik, G. di Bartolo","New Design Issues of the EXCYT Project",
TUP038L,"G. Ciullo, A. Dainelli, V. Guidi, A.M. Pilati, B. Yang","Time Correlation Studies of Secondary Emission Processes",
TUP039L,"P. Barbieri, A. Facco, F. Scarpa, V. Zviagintsev","A High Resolution, Non-destructive Energy Detector and Beam Current Monitor for Bunched Beams",
TUP040G,"S. Guiducci","Background Calculation for the DAFNE Experiments",
TUP041G,"M. Migliorati, L. Palumbo, M. Zobov, S. de Santis","Impedances of a Hole in Coaxial Structures",
TUP041L,"N. Ceci, T. Clauser, A. Dainelli, M. Poggi, V. Stagno, V. Valentino, V. Variale","Preliminary Study for a Residual Gas Beam Profile Monitor",
TUP042G,"F. Sannibale","First Results of the DAFNE Injection System Commissioning",
TUP042L,"S.A. Kryukov","New Programming Technologies For Beam Diagnostics",
TUP043G,"A. Gallo, A. Ghigo, F. Marcellini, L. Palumbo, B. Spataro, M. Zobov","Impedance of DAFNE Shielded Bellows",
TUP043L,"M. Barbarosou, E. Gazis, A. Karabarbounis, D. Maroulis, C.N. Papanicolas, N. Patavalis, R. Rahmani, E. Stiliaris","Control System Implementation for the IASA Microtron",
TUP044G,"G. Ciullo, N.S. Dikansky, G. Lamanna, P. Lenisa, V.V. Parkhomchuk, A.N. Sharapa, A.V. Shemyakin, L. Tecchio","Hollow Cathode Gun for Electron Cooling Purpose",
TUP044L,"P. Huelsmann, H. Klein, W.F.O. Mueller, C. Peschke","Beam Position Monitoring for SBLC using HOM-Coupler Signals",
TUP045G,"D. Dinev","Magnet Sorting Algorithms",
TUP045L,"S. Doebert, R. Eichhorn, H. Genz, H.D. Graef, R. Hahn, T. Hampel, S. Kostial, H. Loos, M. Reichenbach, A. Richter, V. Schlott, E. Spamer, A. Stascheck, M. Thomas, O. Titze, T. Wesp","Transverse and Longitudinal Beam Diagnostics using Transition Radiation",
TUP046G,"A.V. Filippas, H. Herminghaus, K. Hizanidis, A. Karabarbounis, N.H. Papadakis, C.N. Papanicolas, V.I. Shvedunov, N. Sparveris, S. Stiliaris, I.S. Surma, A.V. Tiunov, N.P. Vodinas","Optics for the IASA CW RTM",
TUP046L,"T. Honda, Y. Kamiya, T. Koseki, H. Kudo, N. Nakamura, K. Shinoe, H. Takaki","Single-Pass Monitoring of Beam Position at SOR-RING",
TUP047G,"H. Avramopoulos, D. Economou, A.V. Filippas, T.A. Filippas, E. Gazis, K. Hizanidis, A. Karabarbounis, D. Maroulis, N.H. Papadakis, C.N. Papanicolas, H. Rahmani, S. Stiliaris, C. Trikalinos, N. Uzunoglou, N.P. Vodinas","The IASA Racetrack Microtron Facility",
TUP047L,"A. Artiomov","The Potentialities of H- beam Diagnositics by Detached Particles",
TUP048G,"B. Langenbeck, B. Schillinger, T. Weiland","Ion Injection through Fringe Fields of Dipole Magnets",
TUP048L,"G.V. Dolbilov, A.A. Fateev, N.I. Lebedev, V.A. Petrov","Project of Control System for Accelerator SILUND-21",
TUP049L,"K. Endo, H. Fukuma, F.Q. Zhang","Preliminary Orbit Measurement for Beam Based Alignment",
TUP050G,"Y. Batygin, N. Inabe, T. Katayama, T. Ohkawa, K. Ohtomo, Y.N. Rao, M. Takanaka, M. Wakasugi, S. Watanabe, J. Xia, Y. Yano, K. Yoshida, Y. Yuan","Muses Project at RI Beam Factory",
TUP050L,"T. Honda, M. Katoh","A Single-Pass Beam Position Monitor for the Injection Beam at the Photon Factory Storage Ring",
TUP051G,"A.I. Karev, V.N. Melekhin, V.I. Shvedunov, N.P. Sobenin, W.P. Trower","High Frequency Rectangular Accelerating Structure Focusing in the 70 MeV Race-Track Microtron",
TUP051L,"T. Ishida, E. Kadokura, T. Kawakubo","The Data-taking and Display System by VXI for Observing a Circulating Beam Profile without any Disturbance",
TUP052G,"S. Axinescu","Electron Injection in Circular Microtrons",
TUP052L,"T. Kasuga, Y. Kobayashi, T. Mitsuhashi, A. Ueda","Phase Space Monitor System at the Photon Factory Storage Ring",
TUP053G,"D.A. Ovsyannikov","Mathematical Methods of Optimization of Charged Particle Beams Dynamics",
TUP053L,"M. Katoh, T. Mitsuhashi","A Construction of Optical Beam Profile Monitor for High Brilliance Configuration of the Photon Factory",
TUP054G,"L.G. Brunnet, G. Corso, F.B. Rizzato","Monotonic and Nonmonotonic Area Preserving Maps, and Related Bifurcations in Laser Accelerators",
TUP054L,"N. Akasaka, M. Arinaga, S. Hiramatsu, T. Ieiri, H. Ishii, K. Mori, T. Obina, T. Shintake, M. Tejima","Design of Beam Position Monitor System for KEKB",
TUP055G,"F.B. Rizzato, G.I. de Oliveira, L.P.L. de Oliveira","Low Dimensional Phase-Locking Laser Plasma Nonlinear Interactions",
TUP055L,"J. Bojowald, J. Dietrich, I. Mohos, R. Wagner","Transverse Measurements with Kicker Excitation at COSY-Juelich",
TUP056G,"G. Corso, R. Pakter","Improving Regular Acceleration in the Nonlinear Interaction of Particles and Waves",
TUP056L,"V.N. Boriskin, A.N. Dovbnya, A.N. Savchenko","The Computer Diagnostics of Linac Unit Failures",
TUP057G,"T.S. Caetano, I.L. Caldas, F. Couto, R. Pakter, F.B. Rizzato","Space Charge Effects in the Cyclotron-resonance Laser Accelerator",
TUP057L,"S.P. Karasyov, R.I. Pomatsalyuk, S.Yu. Prokopenko, I.N. Shlyakhov, A.Eh. Tenishev, V.L. Uvarov","A Method of Non-Disturbing Diagnostic of Scanned Electron Beam",
TUP058G,"G. Corso, R. Pakter, F.B. Rizzato","Relativistic Effects in the Particle Acceleration by Large Amplitude Waves",
TUP058L,"M. Bernard, R. Chehab, T. Garvey, M. Jablonka, B. Jacquemard, O. Jouniaux, Y. Lussignol, P. Roudier, J.L. Saury, A. Variola","Secondary Emission Grids for Low and High Energy Electron Beams",
TUP059L,"J. Buon, J. Jeanjean, F. Le Diberdier, V. Lepeltier, P. Puzo","Results of the Orsay Spot Size Monitor for the Final Focus Test Beam",
TUP060L,"X. Artru, M. Castellano, L. Catani, R. Chehab, D. Giove, K. Honkavaara, P. Patteri, M. Taurigna-Quere, P. Thomas, A. Variola, L. Wartski","Experimental Investigations on Geometrical Resolution of Electron Beam Profiles given by OTR in the GeV Energy Range",
TUP062G,"A.V. Barkhudaryan, D.G. Koshkarev, L.G. Vorobiev","Two-Component Charge Compensated Ion Beam Dynamics",
TUP062L,"R.H. Farias, G.S. Franco, L.C. Jahnel, G. Monteiro, J.R. Piton, A.R.D. Rodrigues, P.F. Tavares","LNLS Control System",
TUP064G,"J. Pivarc, J.  Pivarc jun.","One Self-Neutralization Model of Beams: New Results",
TUP064L,"A. Andersson, O.V. Chubar, M. Eriksson","Beam Profile Measurements with Visible Synchrotron Light on MAX-II",
TUP065G,"Th. Doerk, H. Euteneuer, K.H. Kaiser","Methods for High-Precision Beam Energy Monitoring at the Mainz Microtron MAMI",
TUP065L,"P. Rojsel","The QSBPM System Performance, and a Comparison to Conventional BPM Systems",
TUP066G,"K. Akasaka","Dark Current Simulation in High Gradient Accelerating Structure",
TUP066L,"P. Rojsel, W. Stiefler","Hydrostatic Levelling System with Laser Sensors",
TUP067G,"K. Kubo, T. Shintake","Alignment Issues for C-band Linear Collider",
TUP068G,"Y. Ishi, S. Machida, Y. Mori, M. Muto, H. Nakayama, C. Ohmori, S. Shibuya, T. Tanabe, N. Tokuda, M. Tomizawa","Synchrotron Design Issues of the Japanese Hadron Project",
TUP068L,"P. Rojsel","Beam Based Alignment using the QSBPM System",
TUP069G,"N. Akasaka, S.H. Lee, H. Matsumoto, T. Shintake, O. Takeda, K. Watanabe","C-band Choke Mode Accelerator Structure for the Linear Collider",
TUP069L,"A.S. Chepurnov, A.A. Dorokhin, K.A. Gudkov, V.E. Mnuskin, A.V. Shumakov","Control System for Accelerator with Distributed Intelligence based on a "Family of Smart Devices"",
TUP070G,"S. Petracca, I.M. Pinto, F. Ruggiero","Normal Mode Laslett Coefficients ",
TUP070L,"C.I. Chen, C.C. Chu, I.C. Hsu, C.I. Yu","The Observation of Electron Beam Size Variation by Utilizing the Nonlinearity of a Fast Photodiode",
TUP071G,"N. Akasaka, K. Kubo, H.S. Lee, H. Matsumoto, S. Matsumoto, K. Oide, T. Shintake, O. Takeda, S. Takeda, K. Watanabe, K. Yokoya","C-band Linear Collider with C.M. Energy 500 GeV to 1 TeV",
TUP071L,"C.I. Chen, R.C. Chen, C.C. Chu, G.Y. Hsiung, I.C. Hsu, R.C. Hsu, A.T. Lai, Y.C. Liu, P.K. Tseng, C.P. Wang, C.I. Yu","Energy Measurement of Relativistic Electron Beams by Laser Compton Scattering",
TUP072G,"A. Akiyama, Y. Kanazawa, T. Katoh, K. Kudo, S. Suzuki, S. Takeda, Y. Takeuchi","Slow Ground Motion and Large Future Accelerator",
TUP072L,"T.I. Chen, C.C. Chu, I.C. Hsu, C.H. Lee, G.H. Luo, U.H. Tsay, C.T. Wang, W.T. Weng","The Beam Lifetime Studies by Two Special Schemes",
TUP073L,"J.E. Coppens, G. Luijckx, E. Zinin","Commissioning of a Bunch Length Monitor at AMPS",
TUP074L,"G. Luijckx, R. Maas, N. Marquardt, R. Tamoschat","Emittance Measurement at AmPS and DELTA using Laser Compton Scattering",
TUP075G,"U. Bechstedt, J. Dietrich, A. Lehrach, H.L.A. Leunissen, R. Maier, S. Martin, D. Prasuhn, A. Schnase, H. Schneider, H. Stockhorst, R. Toelle","Conditioning the Cooler Synchrotron COSY for Internal Experiments",
TUP075L,"A. Itano, M. Kanazawa, M. Katane, M. Kumada, T. Miyaoka, K. Noda, J. Sagawa, K. Sato, M. Sudou, E. Takada, E. Toyoda, T. Yagi","COD Measurement and Correction System in HIMAC Synchrotron",
TUP076G,"U. Bandow, D. Einfeld, T. Hezel, H.O. Moser, R. Rossmanith, J. Schaper","Calculation of the Dynamic Aperture in the ANKA Storage Ring with a High-field Wavelength Shifter",
TUP077G,"D. Cline, B. Norum, R. Rossmanith","Polarized Muon Beams in a Muon Collider",
TUP077L,"S.S. Chang, J.H. Lee, J.W. Lee, B.R. Park, M.K. Park","Synchronizing System with Intelligence",
TUP078L,"S.S. Chang, J.W. Lee, B.R. Park, S.C. Won, J.C. Yun","Real-time data Acquisition and Control System for the PLS Storage Ring",
TUP079G,"V.A. Kushnir, V.V. Mitrochenko","Simulation of Beam Performances of the Two-cell RF Gun",
TUP079L,"M.A. Clarke-Gayther","A High Stability Intensity Monitoring System for the ISIS Extracted Proton Beam",
TUP080L,"G. Martin, W.A. Morris, S. Stoneham","Console Operated Control System for the RIKEN Muon Facility on ISIS",
TUP081L,"P.J.S. Barratt, A.P. Letchford, M. Perkins, R. Sidlow","A New Remote Control and Monitoring System for the ISIS Ion Source on the 665 kV DC Accelerating Platform",
TUP082G,"S.A. Pismenesky, V.G. Rudychev","Optimization of the Parameters of the Linac Buncher",
TUP083G,"G. Bienvenu, J. Gao","A High Current, High Gradient Electron Double Accelerating Structure",
TUP083L,"A.N. Artemiev, L. Ioudin, M. Lemonnier, V.N. Lightenshtein, S. Megtert, V.G. Mikhailov, S.S. Peredkov, T.Y. Rakhimbabaev, V.A. Rezvov, M. Roulliay, V.I. Sklyarenko","The Development of the Ionization Detectors for Measuring the Main Parameters of the Accelerated Ionising Beams",
TUP084G,"J. Gao","An S-Band Superconducting Linear Collider",
TUP084L,"L. Ioudin, V.V. Martynenko, V.A. Rezvov","Kurchatov Synchrotron Radiation Source: General-Purpose TV System for Beam Monitoring and Inspection of Accelerator Equipment Rooms",
TUP085G,"J.R. Alonso, B.R. Appleton, J.B. Ball, R.A. Gough, A. Jason, W.T. Weng","The National Spallation Neutron Source Collaboration: Towards a New Pulsed Neutron Source in the United States",
TUP086G,"K.J. Kim","A Second Interaction Region for Gamma-Gamma, Gamma-Electron and Electron-Electron Collision ",
TUP087G,"T. Katayama, K. Yoshida","Expected Luminosity at MUSES",
TUP088G,"R. Basilio, C.E.T. Goncalves da Silva, H. Kuniyoshi, L. Lin, A.L. Mesa, R.T. Neuenschwander, A. Ricardo, D. Rodrigues, A.R.B. de Castro","Alignment for the LNLS Synchrotron Light Source",
TUP088L,"M. Bossi, G. D'Auria, M. Ferianis, C. Rossi","An Improved Beam Position Monitor System for the ELETTRA Linac and Transfer Line",
TUP089G,"G. LeBlanc, W. Stiefler","Alignment Procedures for the MAX-II Storage Ring",
TUP089L,"M. Bossi, A. Carniel, G. D'Auria, R. De Monte, M. Ferianis, G. Mian, M. Milloch, F. Pettarin, G. Surace","The New Timing System for the ELETTRA Linac",
TUP090G,"B.Y. Bogdanovich, N.M. Gavrilov, A.V. Nesterovich, V.V. Rassadin, A.V. Shalnov","Cyclic Ion Accelerator with Bending and Focusing by Electrostatic Field",
TUP090L,"A. Bucconi, A. Carniel, M. Ferianis, G. Surace","An Optical System for the Observation of Transverse Beam Motion",
TUP091G,"S.S. Chang, J.Y. Huang, C.K. Kim, M. Kwon, T. Lee, T.N. Lee, S.H. Nam, M. Yoon","Operational Status of the PLS Storage Ring",
TUP091L,"A. Abrami, Q.H. Chen, A. Galimberti, D. Giuressi, L. Olivi, A. Savoia, R. Sergo","Photon Beam Position Monitors suitable for a Local Feedback System at ELETTRA",
TUP092G,"H.K. Jeong, T. Lee, M. Yoon","Measurement of Beta and Dispersion Functions in the PLS Storage ring",
TUP092L,"C.J. Bocchetta, E. Karantzoulis, M. Plesko, L. Tosi","TROUBLE: A Trouble Shooting Program for ELETTRA",
TUP093G,"T. Lee, M. Yoon","Measurement and Control of Linear Coupling in the PLS Storage Ring",
TUP093L,"L. Barbina, D. Bulfone, S. Filippi, M. Lonza, R. Marizza, P. Michelini, A. Tomicich","Design and Development of a New Control System for the ELETTRA Linac",
TUP094G,"P.J.S. Barratt, R.G. Bendall, A.I. Borden, I.S.K. Gardner, M. Glover, M.R. Harold, C.W. Planner, G.H. Rees, C.M. Warsop, D. Wright","High Stability Operation of the ISIS Pulsed Spallation Neutron Source at 200 micro-A",
TUP094L,"L. Barbina, D. Bulfone, S. Grulja, P. Michelini, F. Radovcic, C. Scafuri, A. Vascotto","The Design of the FERMI Personnel Access Control and Interlock System",
TUP095G,"A. Filipchenko, A. Kadnikov, V. Korchuganov, Yu. Krylov, E. Levichev, S. Pesterev, V. Sajaev, V. Ushakov, V. Ushkov, A. Valentinov, Yu. Yupinov","Beam Energy Ramping at SIBERIA-2",
TUP095L,"P. Michelini, C. Scafuri","A New Alarm System Processor for ELETTRA",
TUP096G,"Y.S. Cho, K.H. Chung, T.Y. Kim","Construction and Performance Test of a 100 MeV Race Track Microtron",
TUP097L,"T. Chen, D. Hartill, R.H. Siemann, S. Smith","An Apparatus for Measuring Turn-by-Turn Transverse Beam Profile in Electron Storage Rings",
TUP098L,"D. Arnett, E. Bong, E. Daly, A.S. Fisher, D. Hunt, K. Kennedy, N. Kurita, J. Langton","Design of the Synchrotron-Light Monitors for PEP-II",
TUP099G,"K.L.F. Bane, C.K. Ng, F. Zimmermann","Collimator Wake Fields in the SLC Final Focus",
TUP099L,"R. Hettel, R. Ortiz, J. Sebek, J. Wachter","SSRL Beam Position Monitor Detection Electronics",
TUP100G,"T.O. Raubenheimer, K.A. Thompson, F. Zimmermann","Multi-bunch Energy Compensation in the NLC Bunch Compressor",
TUP101G,"T.O. Raubenheimer, F. Zimmermann","Longitudinal Space Charge in the SLC, FFTB and NLC Final-focus Systems",
