froaa2,"M. Blaskiewicz, V.H. Ranjbar [BNL, Upton, Long Island, New York, USA] ","Transverse Beam Transfer Functions via the Vlasov Equation",1427 1429,
thpma01,"E. Bayer, P. Zipf [University of Kassel, Kassel, Germany] A. Klaus, H. Klingbeil, G. Schreiber [GSI, Darmstadt, Germany] ","Fast FPGA Based Low-Trigger-Jitter Waveform Generator Method for Barrier-Bucket Electronics at FAIR",1352 1354,
thpma02,"Z. Zheng [TUB, Beijing, People's Republic of China] Z. Liu, D. Morris, J. Wei, Y. Zhang, S. Zhao [FRIB, East Lansing, Michigan, USA] ","Study of Microphonics Compensation for SRF Cavity",1355 1357,
thpma04,"P.L. Lemut, R. Hrovatin, P. Orel, S. Zorzut [I-Tech, Solkan, Slovenia] S. Hunziker, V. Schlott [PSI, Villigen PSI, Switzerland] ","Next Generation CW Reference Clock Transfer System with Femtosecond Stability",1358 1360,
thpma05,"J.C. Dooling, M. Borland, Y.-C. Chae, R.R. Lindberg [ANL, Argonne, USA] ","Energy Deposition in the Sector 37 Scraper of the Advanced Photon Source Storage Ring",1361 1363,
thpma06,"M. Borland [Private Address, Westmont, USA] ","Android Application for Accelerator Physics and Engineering Calculations",1364 1366,
thpma07,"N.R.A. Valles, R.G. Eichhorn, F. Furuta, G.M. Ge, D. Gonnella, D.L. Hall, Y. He, K.M.V. Ho, G.H. Hoffstaetter, M. Liepe, T.I. O'Connell, S. Posen, P. Quigley, J. Sears, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Cryomodule Performance of the Main Linac Prototype Cavity for Cornell's Energy Recovery Linac",1367 1369,
thpma08,"D.W. Peterson, Y. Torun [Fermilab, Batavia, USA] Y. Torun [Illinois Institute of Technology, Chicago, IL, USA] ","Fermilab MuCool Test Area Cavity Conditioning Control Using LabVIEW",1370 1372,
thpma09,"T.H. Nicol, S. Cheban, M. Chen, M. Merio, Y.O. Orlov, D. Passarelli, T.J. Peterson, V. Poloubotko, O.V. Pronitchev, L. Ristori, I. Terechkine [Fermilab, Batavia, USA] P. Bhattacharyya [VECC, Kolkata, India] ","SSR1 Cryomodule Design for PXIE",1373 1375,
thpma10,"X.P. Ding [UCLA, Los Angeles, California, USA] H.G. Kirk [BNL, Upton, Long Island, New York, USA] K.T. McDonald [PU, Princeton, New Jersey, USA] C.T. Rogers [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] P. Snopok [IIT, Chicago, Illinois, USA] N. Souchlas [Particle Beam Lasers, Inc., Northridge, California, USA] ","Energy Deposition in Magnets and Shielding of the Target System of a Staged Neutrino Factory",1376 1378,
thpma11,"X.P. Ding [UCLA, Los Angeles, California, USA] J.J. Back [University of Warwick, Coventry, United Kingdom] H.G. Kirk [BNL, Upton, Long Island, New York, USA] K.T. McDonald [PU, Princeton, New Jersey, USA] ","Optimization of Particle Production for a Staged Neutrino Factory",1379 1381,
thpma13,"M.M. Ali, A. Freyberger, J.G. Gubeli, G.A. Krafft [JLAB, Newport News, Virginia, USA] ","A Bunch Length Monitor for JLab 12 GeV Upgrade",1382 1384,
thpma14,"B. Rusnak, P. Fitsos, M. Hall, P. Peaslee, R. Souza [LLNL, Livermore, California, USA] ","A High-Intensity Neutron Production Source based on Rotary Valving",1385 1387,
thpsm01,"Y. Yuri, I. Ishibori, T. Ishizaka, S. Okumura, T. Yuyama [JAEA/TARRI, Gunma-ken, Japan] ","Ion-irradiation Response of Gafchromic Films and their Application to the Measurement of the Transverse Beam Intensity Distribution",1388 1390,
thpsm02,"K. Tagi [University of Tokyo, Tokyo, Japan] K. Dobashi, T. Fujiwara, M. Uesaka [The University of Tokyo, Nuclear Professional School, Ibaraki-ken, Japan] M. Yamamoto [Accuthera Inc., Kawasaki, Kanagawa, Japan] ","Simulation of X-band Linac Neutron Source",1391 1393,
thpsm03,"R. Sato, A. Endo, K. Nonomura, K. Sakaue, M. Washio, Y. Yoshida [Waseda University, Tokyo, Japan] ","Direct Diagnostic Technique for a High Intensity Laser Based on Laser Compton Scattering",1394 1396,
thpsm04,"J.Y. Tang, P. Cheng, H. Geng, Z. Guo, Z. Li, C. Meng, H.F. Ouyang, S. Pei, B. Sun, J.L. Sun, F. Yan, Z. Yang, C. Zhang [IHEP, Beijing, People's Republic of China] Y. He, Y. Yang [IMP, Lanzhou, People's Republic of China] ","Conceptual Physics Design for the China-ADS Linac",1397 1399,
thpsm08,"T.V. Bondarenko, S.M. Polozov, A.Yu. Smirnov [MEPhI, Moscow, Russia] ","THz Band Horn Antennas Design",1400 1402,
thpsm10,"P.A. Posocco, M. Aslaninejad, J.F. Piech, S. Zalel [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","Analysis of Propagated Effects in Proton Depth-Dose Distribution Curves Due To Initial Beam Energy Spread",1403 1405,
thpsm11,"J. Pasternak, M. Aslaninejad, P.R.N. Holland, P.A. Posocco, G.W. Walton [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","A Novel Solution for FFAG Proton Gantries",1406 1408,
thpsm12,"J.K. Pozimski, M. Aslaninejad, N. Dover, Z. Najmudin, R.M. Nichols, P.A. Posocco [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","A Ready-to-use Application of Laser-Plasma Accelerators using Gabor Lenses",1409 1411,
thpsm13,"C. Hughes, N. Dover, Z. Najmudin, P.A. Posocco [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","Characterisation of Nitrogen Clusters and Gas Jet Targets Under Varied Nozzle Geometries",1412 1414,
thpsm14,"N. Barov, R.H. Miller, D.J. Newsham [Far-Tech, Inc., San Diego, California, USA] ","Construction and Testing of the Dual Slot Resonance Linac",1415 1417,
thpsm16,"C.F. Eckman, T. Downer [IAC, Pocatello, IDAHO, USA] A. Andrews, P. Buaphad, Y. Kim [ISU, Pocatello, Idaho, USA] ","Design of a Compact X-Band Linac Structure for KAERI-RTX-ISU Medical Cyberknife Project",1418 1420,
thpsm19,"A.V. Smirnov [RadiaBeam, Santa Monica, USA] ","Compact Scheme for Laser-free THz-Sub-THz Source",1421 1423,
thpsm21,"R.V. Shapovalov, W. Beezhold, V.I. Dimitrov, R.B. Spielman [IAC, Pocatello, IDAHO, USA] ","Adaptation of the ISIS Induction-Cell Driver to a Low-Impedance X-Pinch Driver",1424 1426,
thtb1,"A.S. Hofler [JLAB, Newport News, Virginia, USA] ","Genetic Algorithms and Their Applications in Accelerator Physics",1111 1115,
thyaa1,"W. Leemans, J. Daniels, A. Deshmukh, A.J. Gonsalves, A. Magana, H.S. Mao, D.E. Mittelberger, K. Nakamura, J.R. Riley, D. L. Syversrud, C. Toth (C. Tóth), N. Ybarrolaza [LBNL, Berkeley, California, USA] ","BELLA Laser and Operations",1097 1100,
thyaa2,"M.D. Litos, E. Adli, C.I. Clarke, S. Corde, J.-P. Delahaye, R.J. England, A.S. Fisher, J.T. Frederico, S.J. Gessner, M.J. Hogan, S.Z. Li, D.R. Walz, G.R. White, Z. Wu, V. Yakimenko [SLAC, Menlo Park, California, USA] E. Adli [University of Oslo, Oslo, Norway] W. An, C.E. Clayton, C. Joshi, W. Lu, K.A. Marsh, W.B. Mori, N. Vafaei-Najafabadi [UCLA, Los Angeles, California, USA] P. Muggli [MPI, Muenchen, Germany] ","Latest Plasma Wakefield Acceleration Results from the FACET Project",1101 1104,
thybb2,"S.E. Lapi [Washington University Medical School, St. Louis, USA] T. Voller [Washington University in St. Louis, St. Louis, USA] ","Cyclotron Production of Positron Emitting Radioisotopes",1122 1124,
tuoaa1,"A.V. Fedotov, S.A. Belomestnykh, I. Ben-Zvi, M. Blaskiewicz, D.M. Gassner, D. Kayran, V. Litvinenko, B. Martin, W. Meng, I. Pinayev, B. Sheehy, S. Tepikian, J.E. Tuozzolo, G. Wang [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi, V. Litvinenko [Stony Brook University, Stony Brook, USA] ","Bunched Beam Electron Cooler for Low-energy RHIC Operation",363 365,
tuoaa2,"C. Montag, H. Huang, G.J. Marr, A. Marusic, G. Robert-Demolaize, V. Schoefer, T.C. Shrey, S. Tepikian, K. Zeno [BNL, Upton, Long Island, New York, USA] ","RHIC Machine Studies towards Improving the Performance at 2.5 GeV",366 368,
tuoab1,"S.S. Karkare [Cornell University, Ithaca, New York, USA] I.V. Bazarov, L.E. Boulet, M. Brown, L. Cultrera, B.M. Dunham, N. Erickson, G. Gabriel, A. Kim, B. Lillard, T.P. Moore, C. Nguyen, W.J. Schaff, K.W. Smolenski, H. Wang [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Advances in Photocathode Technology at Cornell University",391 393,
tuoab2,"J.J. Hartzell, R.B. Agustsson, S. Boucher, L. Faillace, A.Y. Murokh, A.V. Smirnov [RadiaBeam, Santa Monica, USA] W.A. Hubbard, C. Regan [UCLA, Los Angeles, USA] ","Continued Development and Testing of Carbon Nanotube Cathodes at Radiabeam",394 396,
tuoba1,"S.J. Full, N.I. Agladze, A.C. Bartnik, I.V. Bazarov, J. Dobbins, B.M. Dunham, Y. Li, X. Liu, T.P. Moore, J.J. Savino, K.W. Smolenski [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","A Fast Rotating Wire Scanner for use in High Current Accelerators",385 387,
tuoba2,"M.S. Zisman [US DOE, Washington, USA] E.R. Colby [OHEP/DOE, Germantown, MD, USA] ","The DOE-HEP Accelerator R&D Stewardship Program",388 390,
tuobb1,"M. Chung, L.R. Prost, V.D. Shiltsev [Fermilab, Batavia, USA] ","Space-charge Compensation for High-intensity Linear and Circular Accelerators at Fermilab",402 404,
tuobb2,"V. Sajaev, M. Borland, Y.-C. Chae, L. Emery [ANL, Argonne, USA] ","Experimental Verification of Single-bunch Accumulation Limit Dependence on Impedance at the APS",405 407,
tuoca1,"G. Stancari, V. Previtali, A. Valishev [Fermilab, Batavia, USA] R. Bruce, S. Redaelli, A. Rossi, B. Salvachua [CERN, Geneva, Switzerland] V. Moens [EPFL, Lausanne, Switzerland] ","Collimation with Hollow Electron Beams: A Proposed Design for the LHC Upgrade",413 415,
tuoca2,"X. Gu, Z. Altinbas, M. Anerella, D. Bruno, M.R. Costanzo, W.C. Dawson, K.A. Drees, W. Fischer, B. Frak, D.M. Gassner, K. Hamdi, J. Hock, L.T. Hoff, A.K. Jain, J.P. Jamilkowski, R.F. Lambiase, Y. Luo, M. Mapes, A. Marone, C. Mi, R.J. Michnoff, T.A. Miller, M.G. Minty, C. Montag, S. Nemesure, W. Ng, D. Phillips, A.I. Pikin, S.R. Plate, P.J. Rosas, P. Sampson, J. Sandberg, L. Snydstrup, Y. Tan, R. Than, C. Theisen, P. Thieberger, J.E. Tuozzolo, P. Wanderer, W. Zhang [BNL, Upton, Long Island, New York, USA] ","Commissioning RHIC's Electron Lens",416 418,
tuocb1,"K. Tian, J.A. Safranek, Y.T. Yan [SLAC, Menlo Park, California, USA] ","Machine Based Optimization Using Genetic Algorithms in a Storage Ring",430 432,
tuocb2,"C. Steier, B.J. Bailey, K. Berg, A. Biocca, A.T. Black, P.W. Casey, D. Colomb, R.F. Gunion, N. Li, A. Madur, S. Marks, H. Nishimura, G.C. Pappas, K.V. Petermann, G.J. Portmann, S. Prestemon, A.W. Rawlins, D. Robin, S.L. Rossi, T. Scarvie, D. Schlueter, C. Sun, H. Tarawneh, W. Wan, E.C. Williams [LBNL, Berkeley, California, USA] C. Chen, J. Jin, Y.M. Wen, J. Wu, L. Yin, J.D. Zhang, Q.G. Zhou [SINAP, Shanghai, People's Republic of China] ","Successful Completion of the ALS Brightness Upgrade",433 435,
tuoda1,"B.T. Freemire, P.M. Hanlet, Y. Torun [IIT, Chicago, Illinois, USA] M. Chung, M.R. Jana, M.A. Leonova, A. Moretti, T.A. Schwarz, A.V. Tollestrup, Y. Torun, K. Yonehara [Fermilab, Batavia, USA] M.G. Collura [Politecnico di Torino, Torino, Italy] R.P. Johnson [Muons, Inc, Illinois, USA] ","High Pressure Gas-Filled RF Cavities for Use in a Muon Cooling Channel",419 421,
tuoda2,"V.A. Lebedev, Y. Tokpanov [Fermilab, Batavia, USA] M.S. Zolotorev [LBNL, Berkeley, California, USA] ","Test of Optical Stochastic Cooling in the IOTA Ring",422 424,
tuodb1,"H. Jiang, P. Chen, S. Fu, T. Huang, F. Li, P. Li, H.C. Liu, C. Meng, M. Meng, Z.C. Mu, H.F. Ouyang, J. Peng, L.Y. Rong, B. Sun, J.M. Tian, B. Wang, S.C. Wang, W.Q. Xin, T.G. Xu, L. Zeng, F.X. Zhao [IHEP, Beijing, People's Republic of China] ","Studies of the Low Energy Proton Beam Halo Experiment",436 438,
tuodb2,"A. Vivoli, G.I. Cancelo, B. Chase, N. Solyak, P. Varghese [Fermilab, Batavia, USA] ","Longitudinal Beam Dynamics and LLRF Requirements for the Project X Pulsed Linac",439 441,
tuodb3,"V. Raginel, E. Benedetto, C. Carli, B. Mikulec [CERN, Geneva, Switzerland] ","Multi-Turn Injection of 50 MeV Protons Into the CERN Proton Synchrotron Booster",442 444,
tuodb4,"A.D. Bross [Fermilab, Batavia, USA] ","nuSTORM: Neutrinos from Stored Muons",445 447,
tupac01,"W. Simeoni, F.B. Rizzato [IF-UFRGS, Porto Alegre, Brazil] ","Kinetic Theory of Halo Formation in Charged Particle Beams",448 450,
tupac02,"R. Dash [Homi Bhbha National Institute (HBNI), DAE, Mumbai, India] K.C. Mittal, J. Mondal, A.S. Sharma [BARC, Mumbai, India] ","Beam Dynamics Studies of a 30 MeV Standing Wave Electron Linac",451 453,
tupac04,"J.Y. Kim, D.G. Kim, E.H. Kim, J.-W. Kim, M. Kim, M. Kim, C.C. Yun [IBS, Daejeon, Republic of Korea] ","Pre-separator Design of the In-flight Fragment Separator Using High-power Beam",454 456,
tupac06,"V. Raginel, S.S. Gilardoni, B. Mikulec [CERN, Geneva, Switzerland] ","Horizontal Dispersion Studies for the CERN Proton Synchrotron Booster Rings",457 459,
tupac07,"A. D'Elia, R.M. Jones, I. Nesmiyan [UMAN, Manchester, United Kingdom] T. Higo [KEK, Ibaraki, Japan] V.F. Khan, A. Latina, G. Riddone [CERN, Geneva, Switzerland] ","Beam Dynamics and Wakefield Suppression in Interleaved Damped and Detuned Structures for CLIC",460 462,
tupac08,"A. Xiao, V. Sajaev [ANL, Argonne, USA] ","Beam-Based Alignment of Sextupoles at the APS",463 465,
tupac10,"Y. Dutheil, L. Ahrens, H. Huang, F. Meot (F. Méot), V. Schoefer [BNL, Upton, Long Island, New York, USA] ","Energy Calibration in the AGS Using Depolarization Through Vertical Intrinsic Spin Resonances",466 468,
tupac11,"C. Montag, K.A. Drees [BNL, Upton, Long Island, New York, USA] ","Halo Control and Generation in RHIC",469 471,
tupac12,"G. Robert-Demolaize, M. Bai [BNL, Upton, Long Island, New York, USA] X. Shen [Indiana University, Bloomington, Indiana, USA] ","A Graphic Interface for Full Control of the RHIC Optics",472 474,
tupac13,"E.E. Cowan [Syracuse University, Syracuse, USA] K.G. Sonnad [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] S.A. Veitzer [Tech-X, Boulder, Colorado, USA] ","Trajectories of Low Energy Electrons in Particle Accelerator Magnetic Structures",475 477,
tupac14,"Z.Q. He, Z. Liu, J. Wei, Y. Zhang [FRIB, East Lansing, USA] R.M. Talman [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","A Linear Envelope Model for Multi-Charge State Linac",478 480,
tupac15,"G. Stancari, M. Chung, A. Valishev [Fermilab, Batavia, USA] H.-J. Lee [Pusan National University, Pusan, Republic of Korea] V. Moens [EPFL, Lausanne, Switzerland] ","Calculation of the Kick Maps Generated by a Hollow Electron Lens for Studies of High-energy Hadron Beam Collimation",481 483,
tupac17,"J.E. Coleman, M.T. Crawford, C. Ekdahl, B.T. McCuistian, D.C. Moir, G. Sullivan [LANL, Los Alamos, New Mexico, USA] ","Limitations of Increasing the Intensity of a Relativistic Electron Beam",484 486,
tupac18,"C. Huang, B.E. Carlsten, T.J. Kwan [LANL, Los Alamos, New Mexico, USA] ","Synchrotron Radiation Near Field In 3D",487 489,
tupac19,"J.S. Kolski, D.B. Barlow, R.J. Macek, T. Spickermann [LANL, Los Alamos, New Mexico, USA] ","Experimental Verification of Dipole Edge Focusing in Linear Model by Operating in the Weak Focusing Regime at the Los Alamos Proton Storage Ring",490 492,
tupac20,"J.S. Kolski, R.J. Macek, T. Spickermann [LANL, Los Alamos, New Mexico, USA] ","Coherent Space Charge Tune Shift Measurements in the Los Alamos Proton Storage Ring",493 495,
tupac21,"C.R. Prokop, P. Piot [Northern Illinois University, DeKalb, Illinois, USA] B.E. Carlsten [LANL, Los Alamos, New Mexico, USA] M.D. Church, P. Piot [Fermilab, Batavia, USA] ","Performance Comparisons of Emittance-exchanger Beamlines",496 498,
tupac24,"A.D. Stepanov, R.C. Davidson, E.P. Gilson, L. Grisham [PPPL, Princeton, New Jersey, USA] ","Studies of Ion Beam Charge Neutralization by Ferroelectric Plasma Sources",499 501,
tupac25,"O. Turgut, J.M. Cesaratto, J.E. Dusatko, J.D. Fox, K.M. Pollock, C.H. Rivetta [SLAC, Menlo Park, California, USA] ","Identification of Intra-Bunch Dynamics Using CERN SPS Machine Measurements",502 504,
tupac26,"S. Assadi, P.M. McIntyre, K.E. Melconian [Texas Aamp;M University, College Station, Texas, USA] ","Nonlinear Beam Dynamics Studies of High Intensity, High Brightness Proton Drivers",505 507,
tupac28,"F. Lin, P.D. Brindza, Y.S. Derbenev, R. Ent, V.S. Morozov, P. Nadel-Turonski, Y. Zhang [JLAB, Newport News, Virginia, USA] C. Hyde [Old Dominion University, Norfolk, Virginia, USA] M.K. Sullivan [SLAC, Menlo Park, California, USA] ","Interaction Region Design and Detector Integration at JLab's MEIC",508 510,
tupac29,"L.V. Ho, J.P. Duris, R.K. Li, P. Musumeci [UCLA, Los Angeles, California, USA] ","Modeling Space Charge Effects in Optical Bunchers",511 513,
tupac31,"S. Bernal, B.L. Beaudoin, M. Cornacchia, D.F. Sutter [UMD, College Park, Maryland, USA] ","Stability of Emittance vs. Space-Charge Dominated Beams in an Electron Recirculator",514 516,
tupac32,"W.D. Stem, B.L. Beaudoin, I. Haber, T.W. Koeth [UMD, College Park, Maryland, USA] ","Experimental Detection of Envelope Resonance in a Space-Charge-Dominated Electron Ring",517 519,
tupac33,"D.F. Sutter, B.L. Beaudoin [UMD, College Park, Maryland, USA] ","Measurement of Plasma Wave Speed from Electron Beam End Erosion",520 522,
tupba03,"J.Y. Tang, Y.W. An, S. Bai, J. Gao, H. Geng, Y.Y. Guo, Q. Qin, D. Wang, N. Wang, S. Wang, Y. Wang, M. Xiao, G. Xu, S.Y. Xu, Y. Yue, J.Y. Zhai, C. Zhang [IHEP, Beijing, People's Republic of China] ","Preliminary Accelerator Design of a Circular Higgs Factory in China",523 525,
tupba04,"X. Shen, S.-Y. Lee [IUCEEM, Bloomington, Indiana, USA] M. Bai, Y. Luo, A. Marusic, G. Robert-Demolaize, S.M. White [BNL, Upton, Long Island, New York, USA] R. Tomas (R. Tomás) [CERN, Geneva, Switzerland] ","AC Dipole Based Optics Measurement and Correction at RHIC",526 528,
tupba05,"C. Liu, A. Marusic, M.G. Minty [BNL, Upton, Long Island, New York, USA] ","Implementation of Optics Correction on the Ramp in RHIC",529 531,
tupba06,"C. Liu, M. Blaskiewicz, K.A. Drees, W. Fischer, A. Marusic, M.G. Minty [BNL, Upton, Long Island, New York, USA] ","Global Optics Correction in RHIC Based on Turn-by-turn Data from ARTUS Tune Meter",532 534,
tupba07,"Y. Luo, W. Fischer, S.M. White [BNL, Upton, Long Island, New York, USA] ","Dynamic Aperture Maximization with Head-on Beam-beam Compensation in RHIC",535 537,
tupba08,"M.G. Minty, K.A. Drees, R.L. Hulsart, C. Liu, A. Marusic, R.J. Michnoff, P. Thieberger [BNL, Upton, Long Island, New York, USA] ","Measurement of Beam Optics During Acceleration in the Relativistic Heavy Ion Collider",538 540,
tupba09,"V. Samulyak, H.G. Kirk [BNL, Upton, Long Island, New York, USA] H.C. Chen [SBU, Stony Brook, USA] K.T. McDonald [PU, Princeton, New Jersey, USA] ","Simulation of High Power Mercury Jet Targets for Neutrino Factory and Muon Collider",541 543,
tupba10,"H. K. Sayed, J.S. Berg, H.G. Kirk [BNL, Upton, Long Island, New York, USA] K.T. McDonald [PU, Princeton, New Jersey, USA] ","Impact of the Initial Proton Bunch Length on the Performance of the Muon Front End",544 546,
tupba11,"H. K. Sayed, J.S. Berg, H.G. Kirk, R.B. Palmer, D. Stratakis [BNL, Upton, Long Island, New York, USA] K.T. McDonald [PU, Princeton, New Jersey, USA] D.V. Neuffer [Fermilab, Batavia, USA] J. Qiang, R.D. Ryne [LBNL, Berkeley, California, USA] ","TOWARDS A GLOBAL OPTIMIZATION OF THE MUON ACCELERATOR FRONT END",547 549,
tupba12,"S. Seletskiy [BNL, Upton, Long Island, New York, USA] N. Solyak [Fermilab, Batavia, USA] ","Design of the ILC RTML Extraction Lines for the Renovated Two-stage Bunch Compressor",550 552,
tupba13,"D. Trbojevic, J.S. Berg, S.J. Brooks, O.V. Chubar, Y. Hao, V. Litvinenko, C. Liu, W. Meng, F. Meot (F. Méot), B. Parker, V. Ptitsyn, T. Roser, N. Tsoupas, W.-T. Weng [BNL, Upton, Long Island, New York, USA] ","NS-FFAG for Electron-Ion Collider in RHIC (eRHIC)",553 555,
tupba14,"D. Trbojevic, Y.C. Jing, Y. Luo [BNL, Upton, Long Island, New York, USA] ","Dynamical Beta-Squeeze from 80 to 40 cm at RHIC",556 558,
tupba15,"D. Trbojevic, E.C. Aschenauer, Y.C. Jing, V. Litvinenko, Y. Luo, B. Parker, V. Ptitsyn [BNL, Upton, Long Island, New York, USA] ","eRHIC Interaction Region and Lattice Design*",559 561,
tupba18,"A. Liu, A.D. Bross, D.V. Neuffer [Fermilab, Batavia, USA] S.-Y. Lee [Indiana University, Bloomington, Indiana, USA] ","nuSTORM Pion Beamline Design Update",562 564,
tupba20,"J.-P. Delahaye [SLAC, Menlo Park, California, USA] C.M. Ankenbrandt [Muons, Inc, Illinois, USA] C.M. Ankenbrandt, S. Brice, A.D. Bross, D.S. Denisov, E. Eichten, R.J. Lipton, D.V. Neuffer, M.A. Palmer, P. Snopok [Fermilab, Batavia, USA] S.A. Bogacz [JLAB, Newport News, Virginia, USA] P. Huber [Virginia Polytechnic Institute and State University, Blacksburg, USA] D.M. Kaplan, P. Snopok [Illinois Institute of Technology, Chicago, Illinois, USA] H.G. Kirk, R.B. Palmer [BNL, Upton, Long Island, New York, USA] R.D. Ryne [LBNL, Berkeley, California, USA] ","A Staged Muon-based Facility to Enable Intensity and Energy Frontier Science in the US",565 567,
tupba21,"A. Valishev [Fermilab, Batavia, USA] D. Banfi, J. Barranco [EPFL, Lausanne, Switzerland] T. Pieloni [CERN, Geneva, Switzerland] D.N. Shatilov [BINP SB RAS, Novosibirsk, Russia] ","Beam-Beam Studies for HL-LHC",568 570,
tupba23,"S. Paret, J. Qiang [LBNL, Berkeley, California, USA] ","Coherent Instability Due to Beam-Beam Interaction in Hadron Colliders",571 573,
tupba25,"E. Marin (E. Marín), G.R. White, M. Woodley [SLAC, Menlo Park, California, USA] K. Kubo, T. Okugi, T. Tauchi, J. Urakawa [KEK, Ibaraki, Japan] R. Tomas (R. Tomás) [CERN, Geneva, Switzerland] ","Design and High Order Optimization of the ATF2 Lattices",574 576,
tupba26,"N.Z. Khalil [SBU, Stony Brook, New York, USA] V. Ptitsyn [BNL, Upton, Long Island, New York, USA] ","Coupling Spin Resonances With Siberian Snakes",577 579,
tupho01,"X. Gu, Z. Altinbas, J.N. Aronson, E.N. Beebe, W. Fischer, D.M. Gassner, K. Hamdi, J. Hock, L.T. Hoff, P. Kankiya, R.F. Lambiase, Y. Luo, M. Mapes, J.-L. Mi, T.A. Miller, C. Montag, S. Nemesure, M. Okamura, R.H. Olsen, A.I. Pikin, D. Raparia, P.J. Rosas, J. Sandberg, Y. Tan, C. Theisen, P. Thieberger, J.E. Tuozzolo, W. Zhang [BNL, Upton, Long Island, New York, USA] ","The RHIC E-Lens Test Bench Experimental Results",580 582,
tupho02,"G.I. Bell, I.V. Pogorelov, B.T. Schwartz [Tech-X, Boulder, Colorado, USA] H. Zhang, Y. Zhang [JLAB, Newport News, Virginia, USA] ","Single Pass Electron Cooling Simulations for MEIC",583 585,
tupho04,"H. Zhang, Y. Zhang [JLAB, Newport News, Virginia, USA] ","MEIC Electron Cooling Simulation Using Betacool",586 588,
tupma01,"M.K. Fukuda, S. Araki, A.S. Aryshev, Y. Honda, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] K. Sakaue, M. Washio [RISE, Tokyo, Japan] ","Status and Future Plan of the Development of a Compact X-ray Source Based on ICS at Laser Undulator Compact X-ray (LUCX)",589 591,
tupma02,"T. Olsson, S.C. Leemann [MAX-lab, Lund, Sweden] ","High-Chromaticity Optics for the MAX IV 3 GeV Storage Ring",592 594,
tupma03,"C. Yao, M. Borland, L. Donley, L. Emery, F. Lenkszus, B.X. Yang [ANL, Argonne, USA] ","Creation of High-charge Bunch Trains from the APS Injector for Swap-out Injection",595 597,
tupma04,"C. Yao, M. Borland, B.X. Yang [ANL, Argonne, USA] ","Observation of +1 Bucket Bunch Impurity Growth at the APS Storage Ring",598 600,
tupma07,"T.V. Shaftan, R.P. Fliller, R. Heese, J. Rose, G.M. Wang, F.J. Willeke [BNL, Upton, Long Island, New York, USA] ","Future Upgrades of the NSLS-II Injector",601 603,
tupma08,"S.P. Antipov, C.-J. Jing, A. Kanareykin, P. Schoessow [Euclid TechLabs, LLC, Solon, Ohio, USA] M.G. Fedurin [BNL, Upton, Long Island, New York, USA] W. Gai, A. Zholents [ANL, Argonne, USA] V. Yakimenko [SLAC, Menlo Park, California, USA] ","Subpicosecond Bunch Train Production for High Power Tunable THz Source",604 606,
tupma09,"H.J. Qian, S. Kwiatkowski, C. F. Papadopoulos, Z. Paret, F. Sannibale, J.W. Staples, R.P. Wells [LBNL, Berkeley, California, USA] ","Analysis and Optimization of Coupler Kick in APEX",607 609,
tupma10,"R.A. Marsh, F. Albert, G.G. Anderson, S.G. Anderson, C.P.J. Barty, E.T. Dayton, S.E. Fisher, D.J. Gibson, F.V. Hartemann, S.S.Q. Wu [LLNL, Livermore, California, USA] ","LLNL X-band Test Station Status",610 612,
tupma13,"E.I. Simakov, C. Huang, T.J. Kwan, D.Y. Shchegolkov [LANL, Los Alamos, New Mexico, USA] ","Shaping Electron Bunches for Ultra-bright Electron Beam Acceleration in Dielectric Loaded Waveguides",613 615,
tupma15,"Y. Choi, D.A. Dimitrov, C. Nieter [Tech-X, Boulder, Colorado, USA] I.V. Bazarov, S.S. Karkare [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Monte Carlo Simulations of Charge Transport and Electron Emission from GaAs Photocathodes",616 618,
tupma16,"J.P. Duris, R.K. Li, P. Musumeci, E.W. Threlkeld [UCLA, Los Angeles, California, USA] ","High Capture Low Energy Spread Inverse Free Electron Laser Accelerator",619 621,
tupma19,"J. Bisognano, M.J. Bissen, R.A. Bosch, M.Y. Efremov, D. Eisert, M.V. Fisher, M.A. Green, K. Jacobs, R.G. Keil, K.J. Kleman, G.C. Rogers, M.C. Severson, D. Yavuz [UW-Madison/SRC, Madison, Wisconsin, USA] R. Bachimanchi, C. Hovater, R.A. Legg, T. E. Plawski, T. Powers [JLAB, Newport News, Virginia, USA] ","Wisconsin SRF Electron Gun Commissioning",622 624,
